Time,Moment_My_N-m,Curvature_phi_y_rad/m
4.341010e+06,2.228550e-16,-5.281570e+05
4.364250e+06,2.229530e-16,-5.306740e+05
4.387400e+06,2.166980e-16,-5.331910e+05
4.410520e+06,2.243380e-16,-5.357060e+05
4.433560e+06,2.246100e-16,-5.382260e+05
4.456560e+06,2.131290e-16,-5.407350e+05
4.479470e+06,2.216700e-16,-5.432000e+05
4.502340e+06,2.201340e-16,-5.456670e+05
4.525170e+06,2.142560e-16,-5.481330e+05
4.547990e+06,2.213000e-16,-5.505980e+05
4.570770e+06,2.203320e-16,-5.530630e+05
4.593530e+06,2.141770e-16,-5.555270e+05
4.616260e+06,2.207400e-16,-5.579900e+05
4.638940e+06,2.206710e-16,-5.604470e+05
4.661590e+06,2.156500e-16,-5.629020e+05
4.684190e+06,2.227150e-16,-5.653480e+05
4.706750e+06,2.203840e-16,-5.677880e+05
4.729260e+06,2.164250e-16,-5.702270e+05
4.751720e+06,2.258050e-16,-5.726680e+05
4.774090e+06,2.225190e-16,-5.750840e+05
4.796420e+06,2.144690e-16,-5.774940e+05
4.818660e+06,2.229540e-16,-5.799100e+05
4.840840e+06,2.230130e-16,-5.823270e+05
4.862960e+06,2.182050e-16,-5.847430e+05
4.885060e+06,2.256230e-16,-5.871590e+05
4.907080e+06,2.240580e-16,-5.895710e+05
4.929040e+06,2.199980e-16,-5.919800e+05
4.950930e+06,2.260830e-16,-5.943820e+05
4.972770e+06,2.256150e-16,-5.967860e+05
4.994570e+06,2.180740e-16,-5.991900e+05
5.016290e+06,2.224300e-16,-6.015850e+05
5.037950e+06,2.194340e-16,-6.039580e+05
5.059530e+06,2.154750e-16,-6.063370e+05
5.081050e+06,2.216210e-16,-6.087230e+05
5.102520e+06,2.225890e-16,-6.111110e+05
5.123930e+06,2.172510e-16,-6.135020e+05
5.145270e+06,2.217700e-16,-6.158960e+05
5.166560e+06,2.163530e-16,-6.182950e+05
5.187760e+06,2.146580e-16,-6.206970e+05
5.208900e+06,2.208210e-16,-6.231030e+05
5.229950e+06,2.317430e-16,-6.255130e+05
5.250920e+06,2.408200e-16,-6.279240e+05
5.271790e+06,2.331960e-16,-6.303440e+05
5.292580e+06,2.393310e-16,-6.327660e+05
5.313280e+06,2.327680e-16,-6.351930e+05
5.333900e+06,2.389110e-16,-6.376240e+05
5.354450e+06,2.281930e-16,-6.400550e+05
5.374870e+06,2.345220e-16,-6.424800e+05
5.395180e+06,2.354380e-16,-6.449080e+05
5.415390e+06,2.354930e-16,-6.473250e+05
5.435500e+06,2.352180e-16,-6.497380e+05
5.455530e+06,2.262300e-16,-6.521410e+05
5.475480e+06,2.213090e-16,-6.545310e+05
5.495340e+06,2.318220e-16,-6.568880e+05
5.515130e+06,2.302320e-16,-6.592240e+05
5.534830e+06,2.302230e-16,-6.615400e+05
5.554450e+06,2.272340e-16,-6.638190e+05
5.573970e+06,2.259500e-16,-6.660660e+05
5.593390e+06,2.263000e-16,-6.682950e+05
5.612720e+06,2.274460e-16,-6.705000e+05
5.631970e+06,2.281390e-16,-6.726790e+05
5.651130e+06,2.307920e-16,-6.748300e+05
5.670190e+06,2.304880e-16,-6.769550e+05
5.689140e+06,2.307410e-16,-6.790520e+05
5.708000e+06,2.276520e-16,-6.811240e+05
5.726750e+06,2.265570e-16,-6.831750e+05
5.745390e+06,2.262390e-16,-6.852080e+05
5.763900e+06,2.240690e-16,-6.872240e+05
5.782300e+06,2.229730e-16,-6.892280e+05
5.800540e+06,2.218330e-16,-6.912230e+05
5.818660e+06,2.213560e-16,-6.932140e+05
5.836630e+06,2.175940e-16,-6.952050e+05
5.854460e+06,2.158800e-16,-6.971950e+05
5.872140e+06,2.143210e-16,-6.991880e+05
5.889680e+06,2.132180e-16,-7.011830e+05
5.907080e+06,2.088150e-16,-7.031800e+05
5.924360e+06,2.053420e-16,-7.051780e+05
5.941510e+06,2.016070e-16,-7.071770e+05
5.958550e+06,1.991330e-16,-7.091790e+05
5.975480e+06,1.957940e-16,-7.111780e+05
5.992290e+06,1.958990e-16,-7.131720e+05
6.009020e+06,1.944710e-16,-7.151580e+05
6.025650e+06,1.928130e-16,-7.171340e+05
6.042200e+06,1.935510e-16,-7.190950e+05
6.058660e+06,1.943530e-16,-7.210390e+05
6.075030e+06,1.914790e-16,-7.229660e+05
6.091320e+06,1.914590e-16,-7.248690e+05
6.107500e+06,1.911200e-16,-7.267480e+05
6.123580e+06,1.876540e-16,-7.285940e+05
6.139570e+06,1.876760e-16,-7.304000e+05
6.155450e+06,1.886550e-16,-7.321660e+05
6.171240e+06,1.857950e-16,-7.338880e+05
6.186910e+06,1.873900e-16,-7.355690e+05
6.202460e+06,1.863270e-16,-7.372090e+05
6.217900e+06,1.849540e-16,-7.388040e+05
6.233240e+06,1.833650e-16,-7.403550e+05
6.248480e+06,1.812510e-16,-7.418690e+05
6.263620e+06,1.790230e-16,-7.433450e+05
6.278660e+06,1.772300e-16,-7.447890e+05
6.293600e+06,1.763520e-16,-7.462120e+05
6.308440e+06,1.703280e-16,-7.476120e+05
6.323180e+06,1.691430e-16,-7.489980e+05
6.337820e+06,1.650130e-16,-7.503720e+05
6.352350e+06,1.552990e-16,-7.517370e+05
6.366770e+06,1.508680e-16,-7.530900e+05
6.381080e+06,1.502120e-16,-7.544390e+05
6.395280e+06,1.486730e-16,-7.557840e+05
6.409360e+06,1.491510e-16,-7.571270e+05
6.423340e+06,1.454830e-16,-7.584680e+05
6.437200e+06,1.445270e-16,-7.598090e+05
6.450950e+06,1.407370e-16,-7.611510e+05
6.464590e+06,1.386520e-16,-7.624920e+05
6.478110e+06,1.364850e-16,-7.638320e+05
6.491520e+06,1.316980e-16,-7.651720e+05
6.504810e+06,1.303550e-16,-7.665100e+05
6.517970e+06,1.052000e-16,-7.678490e+05
6.530980e+06,8.919770e-17,-7.691920e+05
6.543820e+06,7.486100e-17,-7.705400e+05
6.556400e+06,6.845850e-17,-7.719030e+05
6.568800e+06,7.218060e-17,-7.732540e+05
6.580930e+06,6.442810e-17,-7.745460e+05
6.592750e+06,6.095070e-17,-7.758470e+05
6.604370e+06,5.253680e-17,-7.770370e+05
6.615810e+06,4.352930e-17,-7.782230e+05
6.627120e+06,3.715650e-17,-7.794010e+05
6.638290e+06,3.377960e-17,-7.805660e+05
6.649350e+06,3.040790e-17,-7.817150e+05
6.660280e+06,2.478680e-17,-7.828410e+05
6.671100e+06,2.575470e-17,-7.839370e+05
6.681800e+06,2.048950e-17,-7.849960e+05
6.692370e+06,1.599050e-17,-7.860100e+05
6.702810e+06,1.504520e-17,-7.869700e+05
6.713110e+06,1.024350e-17,-7.878660e+05
6.723270e+06,1.097270e-17,-7.886910e+05
6.733270e+06,8.369370e-18,-7.894400e+05
6.743110e+06,-2.191750e-17,-7.901100e+05
6.752810e+06,-4.997290e-17,-7.907040e+05
6.762340e+06,-7.496580e-17,-7.912280e+05
6.771720e+06,-1.057670e-16,-7.916910e+05
6.780960e+06,-1.210680e-16,-7.921040e+05
6.790060e+06,-1.324400e-16,-7.924780e+05
6.799000e+06,-1.415780e-16,-7.928210e+05
6.807800e+06,-1.451800e-16,-7.931410e+05
6.816450e+06,-1.517190e-16,-7.934440e+05
6.824960e+06,-1.757820e-16,-7.937340e+05
6.833330e+06,-1.898960e-16,-7.940140e+05
6.841540e+06,-1.945400e-16,-7.942870e+05
6.849580e+06,-1.943880e-16,-7.945540e+05
6.857460e+06,-1.907900e-16,-7.948180e+05
6.865150e+06,-1.760330e-16,-7.950790e+05
6.872680e+06,-1.475710e-16,-7.953370e+05
6.880050e+06,-1.167510e-16,-7.955920e+05
6.887240e+06,-8.877930e-17,-7.958450e+05
6.894280e+06,-5.674860e-17,-7.960940e+05
6.901150e+06,-2.433520e-17,-7.963400e+05
6.907880e+06,3.150090e-18,-7.965830e+05
6.914460e+06,3.368460e-17,-7.968220e+05
6.920900e+06,6.074340e-17,-7.970570e+05
6.927220e+06,8.742390e-17,-7.972860e+05
6.933410e+06,1.107770e-16,-7.975100e+05
6.939480e+06,1.364040e-16,-7.977270e+05
6.945430e+06,1.624500e-16,-7.979370e+05
6.951280e+06,1.918470e-16,-7.981390e+05
6.957000e+06,2.193720e-16,-7.983320e+05
6.962630e+06,2.455760e-16,-7.985150e+05
6.968140e+06,2.756230e-16,-7.986880e+05
6.973540e+06,3.032250e-16,-7.988480e+05
6.978840e+06,3.313650e-16,-7.989950e+05
6.984020e+06,3.633400e-16,-7.991280e+05
6.989100e+06,3.976480e-16,-7.992450e+05
6.914730e+06,-3.546290e-16,-8.001830e+05
