Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.000420,53476.400000,53476.400000
0.000840,106952.550000,106953.000000
0.001260,160428.450000,160428.000000
0.001680,213904.050000,213904.000000
0.002100,267378.500000,267379.000000
0.002520,320853.000000,320853.000000
0.002940,374327.000000,374327.000000
0.003360,427799.500000,427800.000000
0.003780,481272.000000,481272.000000
0.004200,534743.500000,534744.000000
0.004620,588213.000000,588214.000000
0.005040,641682.500000,641682.000000
0.005460,695150.000000,695150.000000
0.005880,748615.500000,748616.000000
0.006300,802079.500000,802080.000000
0.006720,855523.500000,855523.000000
0.007140,908700.500000,908700.000000
0.007560,961383.500000,961384.000000
0.007980,1013552.500000,1013550.000000
0.008400,1065306.500000,1065310.000000
0.008820,1116660.500000,1116660.000000
0.009240,1167536.500000,1167540.000000
0.009660,1218076.000000,1218080.000000
0.010080,1268382.000000,1268380.000000
0.010500,1318128.000000,1318130.000000
0.010920,1366560.500000,1366550.000000
0.011340,1414166.500000,1414170.000000
0.011760,1460346.000000,1460340.000000
0.012180,1505358.000000,1505360.000000
0.012600,1549612.500000,1549610.000000
0.013020,1593019.000000,1593010.000000
0.013440,1635448.500000,1635450.000000
0.013860,1677298.500000,1677300.000000
0.014280,1718497.000000,1718490.000000
0.014700,1758875.000000,1758880.000000
0.015120,1799007.500000,1799010.000000
0.015540,1838607.000000,1838600.000000
0.015960,1877194.000000,1877170.000000
0.016380,1915117.000000,1915110.000000
0.016800,1952707.500000,1952710.000000
0.017220,1989909.000000,1989910.000000
0.017640,2026652.500000,2026650.000000
0.018060,2062843.500000,2062840.000000
0.018480,2098828.500000,2098830.000000
0.018900,2134349.500000,2134340.000000
0.019320,2169053.000000,2169050.000000
0.019740,2203320.500000,2203310.000000
0.020160,2237193.000000,2237190.000000
0.020580,2270808.000000,2270800.000000
0.021000,2303930.500000,2303930.000000
0.021420,2336485.000000,2336490.000000
0.021840,2368775.000000,2368780.000000
0.022260,2400820.000000,2400820.000000
0.022680,2432560.000000,2432560.000000
0.023100,2463885.000000,2463890.000000
0.023520,2494870.000000,2494860.000000
0.023940,2525465.000000,2525460.000000
0.024360,2555960.000000,2555960.000000
0.024780,2586280.000000,2586280.000000
0.025200,2616305.000000,2616300.000000
0.025620,2646235.000000,2646240.000000
0.026040,2676090.000000,2676090.000000
0.026460,2705610.000000,2705590.000000
0.026880,2734905.000000,2734900.000000
0.027300,2764090.000000,2764090.000000
0.027720,2793030.000000,2793030.000000
0.028140,2821700.000000,2821700.000000
0.028560,2850085.000000,2850080.000000
0.028980,2878220.000000,2878220.000000
0.029400,2906250.000000,2906250.000000
0.029820,2934135.000000,2934130.000000
0.030240,2961700.000000,2961690.000000
0.030660,2989105.000000,2989100.000000
0.031080,3016415.000000,3016420.000000
0.031500,3043580.000000,3043580.000000
0.031920,3070680.000000,3070680.000000
0.032340,3097715.000000,3097710.000000
0.032760,3124665.000000,3124660.000000
0.033180,3151565.000000,3151560.000000
0.033600,3178360.000000,3178360.000000
0.034020,3204950.000000,3204950.000000
0.034440,3231400.000000,3231400.000000
0.034860,3257765.000000,3257770.000000
0.035280,3284005.000000,3284010.000000
0.035700,3310205.000000,3310200.000000
0.036120,3336280.000000,3336270.000000
0.036540,3362280.000000,3362280.000000
0.036960,3388275.000000,3388280.000000
0.037380,3414235.000000,3414230.000000
0.037800,3440105.000000,3440100.000000
0.038220,3465825.000000,3465820.000000
0.038640,3491520.000000,3491520.000000
0.039060,3517165.000000,3517160.000000
0.039480,3542720.000000,3542720.000000
0.039900,3568150.000000,3568150.000000
0.040320,3593400.000000,3593390.000000
0.040740,3618490.000000,3618480.000000
0.041160,3643485.000000,3643490.000000
0.041580,3668430.000000,3668430.000000
0.042000,3693285.000000,3693290.000000
0.042420,3718050.000000,3718050.000000
0.042840,3742765.000000,3742770.000000
0.043260,3767450.000000,3767450.000000
0.043680,3792075.000000,3792080.000000
0.044100,3816650.000000,3816650.000000
0.044520,3841100.000000,3841100.000000
0.044940,3865460.000000,3865460.000000
0.045360,3889770.000000,3889770.000000
0.045780,3914060.000000,3914060.000000
0.046200,3938250.000000,3938250.000000
0.046620,3962390.000000,3962400.000000
0.047040,3986480.000000,3986480.000000
0.047460,4010530.000000,4010530.000000
0.047880,4034475.000000,4034470.000000
0.048300,4058385.000000,4058380.000000
0.048720,4082250.000000,4082250.000000
0.049140,4106070.000000,4106070.000000
0.049560,4129805.000000,4129790.000000
0.049980,4153455.000000,4153450.000000
0.050400,4177060.000000,4177060.000000
0.050820,4200640.000000,4200640.000000
0.051240,4224160.000000,4224150.000000
0.051660,4247610.000000,4247610.000000
0.052080,4271030.000000,4271030.000000
0.052500,4294400.000000,4294400.000000
0.052920,4317720.000000,4317720.000000
0.053340,4341010.000000,4341010.000000
0.053760,4364255.000000,4364250.000000
0.054180,4387395.000000,4387400.000000
0.054600,4410515.000000,4410520.000000
0.055020,4433570.000000,4433560.000000
0.055440,4456560.000000,4456560.000000
0.055860,4479480.000000,4479470.000000
0.056280,4502340.000000,4502340.000000
0.056700,4525170.000000,4525170.000000
0.057120,4547980.000000,4547990.000000
0.057540,4570770.000000,4570770.000000
0.057960,4593530.000000,4593530.000000
0.058380,4616260.000000,4616260.000000
0.058800,4638945.000000,4638940.000000
0.059220,4661585.000000,4661590.000000
0.059640,4684190.000000,4684190.000000
0.060060,4706745.000000,4706750.000000
0.060480,4729265.000000,4729260.000000
0.060900,4751725.000000,4751720.000000
0.061320,4774090.000000,4774090.000000
0.061740,4796415.000000,4796420.000000
0.062160,4818660.000000,4818660.000000
0.062580,4840840.000000,4840840.000000
0.063000,4862965.000000,4862960.000000
0.063420,4885055.000000,4885060.000000
0.063840,4907080.000000,4907080.000000
0.064260,4929040.000000,4929040.000000
0.064680,4950925.000000,4950930.000000
0.065100,4972770.000000,4972770.000000
0.065520,4994570.000000,4994570.000000
0.065940,5016295.000000,5016290.000000
0.066360,5037950.000000,5037950.000000
0.066780,5059525.000000,5059530.000000
0.067200,5081055.000000,5081050.000000
0.067620,5102520.000000,5102520.000000
0.068040,5123920.000000,5123930.000000
0.068460,5145275.000000,5145270.000000
0.068880,5166560.000000,5166560.000000
0.069300,5187765.000000,5187760.000000
0.069720,5208900.000000,5208900.000000
0.070140,5229960.000000,5229950.000000
0.070560,5250915.000000,5250920.000000
0.070980,5271795.000000,5271790.000000
0.071400,5292585.000000,5292580.000000
0.071820,5313285.000000,5313280.000000
0.072240,5333900.000000,5333900.000000
0.072660,5354445.000000,5354450.000000
0.073080,5374870.000000,5374870.000000
0.073500,5395175.000000,5395180.000000
0.073920,5415390.000000,5415390.000000
0.074340,5435495.000000,5435500.000000
0.074760,5455530.000000,5455530.000000
0.075180,5475485.000000,5475480.000000
0.075600,5495345.000000,5495340.000000
0.076020,5515135.000000,5515130.000000
0.076440,5534835.000000,5534830.000000
0.076860,5554455.000000,5554450.000000
0.077280,5573970.000000,5573970.000000
0.077700,5593395.000000,5593390.000000
0.078120,5612720.000000,5612720.000000
0.078540,5631970.000000,5631970.000000
0.078960,5651125.000000,5651130.000000
0.079380,5670185.000000,5670190.000000
0.079800,5689145.000000,5689140.000000
0.080220,5708000.000000,5708000.000000
0.080640,5726755.000000,5726750.000000
0.081060,5745390.000000,5745390.000000
0.081480,5763905.000000,5763900.000000
0.081900,5782300.000000,5782300.000000
0.082320,5800545.000000,5800540.000000
0.082740,5818660.000000,5818660.000000
0.083160,5836630.000000,5836630.000000
0.083580,5854455.000000,5854460.000000
0.084000,5872135.000000,5872140.000000
0.084420,5889675.000000,5889680.000000
0.084840,5907085.000000,5907080.000000
0.085260,5924360.000000,5924360.000000
0.085680,5941520.000000,5941510.000000
0.086100,5958545.000000,5958550.000000
0.086520,5975475.000000,5975480.000000
0.086940,5992285.000000,5992290.000000
0.087360,6009020.000000,6009020.000000
0.087780,6025650.000000,6025650.000000
0.088200,6042200.000000,6042200.000000
0.088620,6058665.000000,6058660.000000
0.089040,6075035.000000,6075030.000000
0.089460,6091315.000000,6091320.000000
0.089880,6107505.000000,6107500.000000
0.090300,6123590.000000,6123580.000000
0.090720,6139565.000000,6139570.000000
0.091140,6155455.000000,6155450.000000
0.091560,6171240.000000,6171240.000000
0.091980,6186910.000000,6186910.000000
0.092400,6202455.000000,6202460.000000
0.092820,6217905.000000,6217900.000000
0.093240,6233245.000000,6233240.000000
0.093660,6248475.000000,6248480.000000
0.094080,6263620.000000,6263620.000000
0.094500,6278665.000000,6278660.000000
0.094920,6293600.000000,6293600.000000
0.095340,6308440.000000,6308440.000000
0.095760,6323180.000000,6323180.000000
0.096180,6337820.000000,6337820.000000
0.096600,6352350.000000,6352350.000000
0.097020,6366765.000000,6366770.000000
0.097440,6381085.000000,6381080.000000
0.097860,6395275.000000,6395280.000000
0.098280,6409360.000000,6409360.000000
0.098700,6423335.000000,6423340.000000
0.099120,6437195.000000,6437200.000000
0.099540,6450950.000000,6450950.000000
0.099960,6464585.000000,6464590.000000
0.100380,6478110.000000,6478110.000000
0.100800,6491525.000000,6491520.000000
0.101220,6504810.000000,6504810.000000
0.101640,6517970.000000,6517970.000000
0.102060,6530990.000000,6530980.000000
0.102480,6543820.000000,6543820.000000
0.102900,6556435.000000,6556400.000000
0.103320,6568815.000000,6568800.000000
0.103740,6580940.000000,6580930.000000
0.104160,6592800.000000,6592750.000000
0.104580,6604370.000000,6604370.000000
0.105000,6615810.000000,6615810.000000
0.105420,6627115.000000,6627120.000000
0.105840,6638295.000000,6638290.000000
0.106260,6649345.000000,6649350.000000
0.106680,6660285.000000,6660280.000000
0.107100,6671100.000000,6671100.000000
0.107520,6681795.000000,6681800.000000
0.107940,6692370.000000,6692370.000000
0.108360,6702805.000000,6702810.000000
0.108780,6713110.000000,6713110.000000
0.109200,6723260.000000,6723270.000000
0.109620,6733275.000000,6733270.000000
0.110040,6743105.000000,6743110.000000
0.110460,6752800.000000,6752810.000000
0.110880,6762340.000000,6762340.000000
0.111300,6771720.000000,6771720.000000
0.111720,6780960.000000,6780960.000000
0.112140,6790050.000000,6790060.000000
0.112560,6799000.000000,6799000.000000
0.112980,6807790.000000,6807800.000000
0.113400,6816450.000000,6816450.000000
0.113820,6824960.000000,6824960.000000
0.114240,6833325.000000,6833330.000000
0.114660,6841535.000000,6841540.000000
0.115080,6849580.000000,6849580.000000
0.115500,6857450.000000,6857460.000000
0.115920,6865150.000000,6865150.000000
0.116340,6872680.000000,6872680.000000
0.116760,6880040.000000,6880050.000000
0.117180,6887240.000000,6887240.000000
0.117600,6894275.000000,6894280.000000
0.118020,6901155.000000,6901150.000000
0.118440,6907870.000000,6907880.000000
0.118860,6914455.000000,6914460.000000
0.119280,6920890.000000,6920900.000000
0.119700,6927210.000000,6927220.000000
0.120120,6933400.000000,6933410.000000
