
--- Dataset Generation Session Started: 2025-12-12 11:32:11.054280 ---
Attempting to generate 200 NEW samples (starting from ID 0).

Sample 109: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.28s)
Sample 110: SUCCESS - Success (Time: 20.72s)
Sample 111: FAILED - BadData_130Rule_Fail_Z_pos (Time: 13.87s)
Sample 112: SUCCESS - Success (Time: 39.68s)
Sample 113: SUCCESS - Success (Time: 52.33s)
Sample 114: SUCCESS - Success (Time: 43.50s)
Sample 115: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.41s)
Sample 116: SUCCESS - Success (Time: 28.21s)
Sample 117: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.28s)
Sample 118: SUCCESS - Success (Time: 21.32s)
Sample 119: SUCCESS - Success (Time: 35.37s)
Sample 120: SUCCESS - Success (Time: 77.32s)
Sample 121: SUCCESS - Success (Time: 44.06s)
Sample 122: SUCCESS - Success (Time: 100.50s)
Sample 123: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.54s)
Sample 124: SUCCESS - Success (Time: 57.79s)
Sample 125: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.28s)
Sample 126: SUCCESS - Success (Time: 59.52s)
Sample 127: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.23s)
Sample 128: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.59s)
Sample 129: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.32s)
Sample 130: FAILED - BadData_130Rule_Fail_Z_pos (Time: 16.55s)
Sample 131: SUCCESS - Success (Time: 34.97s)
Sample 132: SUCCESS - Success (Time: 26.32s)
Sample 133: SUCCESS - Success (Time: 59.71s)
Sample 134: SUCCESS - Success (Time: 39.08s)
Sample 135: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.39s)
Sample 136: SUCCESS - Success (Time: 141.97s)
Sample 137: SUCCESS - Success (Time: 14.47s)
Sample 138: SUCCESS - Success (Time: 23.75s)
Sample 139: FAILED - BadData_130Rule_Fail_Z_pos (Time: 8.03s)
Sample 140: SUCCESS - Success (Time: 112.63s)
Sample 141: SUCCESS - Success (Time: 20.40s)
Sample 142: SUCCESS - Success (Time: 15.67s)
Sample 143: SUCCESS - Success (Time: 28.02s)
Sample 144: SUCCESS - Success (Time: 27.61s)
Sample 145: SUCCESS - Success (Time: 19.15s)
Sample 146: SUCCESS - Success (Time: 24.85s)
Sample 147: SUCCESS - Success (Time: 43.39s)
Sample 148: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.44s)
Sample 149: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.30s)
Sample 150: SUCCESS - Success (Time: 21.17s)
Sample 151: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.54s)
Sample 152: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.13s)
Sample 153: SUCCESS - Success (Time: 24.97s)
Sample 154: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.39s)
Sample 155: SUCCESS - Success (Time: 20.55s)
Sample 156: SUCCESS - Success (Time: 24.61s)
Sample 157: SUCCESS - Success (Time: 22.70s)
Sample 158: SUCCESS - Success (Time: 88.93s)
Sample 159: SUCCESS - Success (Time: 40.68s)
Sample 160: SUCCESS - Success (Time: 77.18s)
Sample 161: SUCCESS - Success (Time: 59.44s)
Sample 162: SUCCESS - Success (Time: 41.86s)
Sample 163: SUCCESS - Success (Time: 43.18s)
Sample 164: SUCCESS - Success (Time: 26.96s)
Sample 165: SUCCESS - Success (Time: 258.55s)
Sample 166: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.38s)
Sample 167: SUCCESS - Success (Time: 41.97s)
Sample 168: SUCCESS - Success (Time: 38.20s)
Sample 169: SUCCESS - Success (Time: 43.66s)
Sample 170: SUCCESS - Success (Time: 66.46s)
Sample 171: SUCCESS - Success (Time: 31.05s)
Sample 172: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.29s)
Sample 173: FAILED - BadData_130Rule_Fail_Z_pos (Time: 13.95s)
Sample 174: SUCCESS - Success (Time: 39.87s)
Sample 175: SUCCESS - Success (Time: 55.61s)
Sample 176: SUCCESS - Success (Time: 82.94s)
Sample 177: SUCCESS - Success (Time: 76.58s)
Sample 178: SUCCESS - Success (Time: 19.05s)
Sample 179: SUCCESS - Success (Time: 35.91s)
Sample 180: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.14s)
Sample 181: SUCCESS - Success (Time: 25.14s)
Sample 182: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.77s)
Sample 183: SUCCESS - Success (Time: 35.14s)
Sample 184: SUCCESS - Success (Time: 31.23s)
Sample 185: SUCCESS - Success (Time: 23.23s)
Sample 186: SUCCESS - Success (Time: 87.16s)
Sample 187: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.30s)
Sample 188: SUCCESS - Success (Time: 21.26s)
Sample 189: SUCCESS - Success (Time: 24.46s)
Sample 190: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.21s)
Sample 191: SUCCESS - Success (Time: 41.43s)
Sample 192: SUCCESS - Success (Time: 53.75s)
Sample 193: SUCCESS - Success (Time: 75.37s)
Sample 194: SUCCESS - Success (Time: 53.66s)
Sample 195: FAILED - BadData_130Rule_Fail_X_pos (Time: 0.24s)
Sample 196: SUCCESS - Success (Time: 34.48s)
Sample 197: SUCCESS - Success (Time: 47.74s)
Sample 198: SUCCESS - Success (Time: 27.40s)
Sample 199: SUCCESS - Success (Time: 19.36s)

--- Dataset Generation Session Finished: 2025-12-12 13:41:17.811520 ---
Total Attempts (New Samples): 200
Successful New Samples: 153
Failed New Samples: 47
Skipped Existing Samples: 0
Total Session Duration: 7746.76s (129.11 min)

--- Dataset Generation Session Started: 2025-12-12 14:58:09.944938 ---
Target: 100 successful samples (Starting ID: 153).

Sample 153 (Run 153): SUCCESS - Success (Time: 31.02s)
Sample 154 (Run 155): SUCCESS - Success (Time: 47.21s)
Sample 155 (Run 156): SUCCESS - Success (Time: 51.07s)
Sample 156 (Run 157): SUCCESS - Success (Time: 53.79s)
Sample 157 (Run 158): SUCCESS - Success (Time: 189.23s)
Sample 158 (Run 160): SUCCESS - Success (Time: 50.15s)
Sample 159 (Run 161): SUCCESS - Success (Time: 27.59s)
Sample 160 (Run 162): SUCCESS - Success (Time: 49.45s)
Sample 161 (Run 163): SUCCESS - Success (Time: 29.60s)
Sample 162 (Run 165): SUCCESS - Success (Time: 60.42s)
Sample 163 (Run 166): SUCCESS - Success (Time: 58.56s)
Sample 164 (Run 168): SUCCESS - Success (Time: 41.09s)
Sample 165 (Run 169): SUCCESS - Success (Time: 22.80s)
Sample 166 (Run 170): SUCCESS - Success (Time: 32.56s)
Sample 167 (Run 171): SUCCESS - Success (Time: 31.47s)
Sample 168 (Run 172): SUCCESS - Success (Time: 36.13s)
Sample 169 (Run 173): SUCCESS - Success (Time: 25.42s)
