sample_count,gen_time_est,train_time,total_time_est,test_loss,test_r2,train_loss_final,val_loss_best
100,6000.0,761.3293738365173,6761.329373836517,0.32277550428348073,0.6562731862068176,0.09370399100912942,0.07107214319209258
200,12000.0,1312.624260187149,13312.624260187149,0.2718566281058021,0.7027144432067871,0.0864129533370336,0.07682143617421389
300,18000.0,1809.4663190841675,19809.466319084167,0.18774773856088267,0.7970847487449646,0.09741133061193284,0.05643812815348307
400,24000.0,2139.027897119522,26139.027897119522,0.16885748505592346,0.8170804977416992,0.07577664107084274,0.06954512372612953
500,30000.0,2385.673860311508,32385.673860311508,0.12881512068590875,0.8599565625190735,0.06929819525352546,0.048729245783761144
600,36000.0,2593.930066347122,38593.93006634712,0.13848398442743187,0.8498553037643433,0.08132945199807486,0.05331251956522465
700,42000.0,2608.353410959244,44608.353410959244,0.14287168040113934,0.8436455726623535,0.0754637314627568,0.0525769698433578
800,48000.0,2684.0614614486694,50684.06146144867,0.13060273962505795,0.8580260276794434,0.0792779247276485,0.05953251218630208
900,54000.0,2780.0455434322357,56780.045543432236,0.1316549073967893,0.8572429418563843,0.07422742445487529,0.05802810730205642
1000,60000.0,2780.8290934562683,62780.82909345627,0.1331037079631272,0.8558147549629211,0.07779228879195271,0.06680339698990186
