Time,Moment_My_N-m,Curvature_phi_y_rad/m
2.197550e+04,2.224970e-16,-4.687120e+03
4.395070e+04,2.750670e-16,-9.374140e+03
6.592550e+04,2.895140e-16,-1.406100e+04
8.789970e+04,3.017430e-16,-1.874780e+04
1.098730e+05,2.914220e-16,-2.343450e+04
1.318460e+05,2.947030e-16,-2.812100e+04
1.538180e+05,2.866740e-16,-3.280710e+04
1.757890e+05,2.875110e-16,-3.749290e+04
1.977590e+05,2.919940e-16,-4.217880e+04
2.197280e+05,3.108720e-16,-4.686420e+04
2.416960e+05,2.864500e-16,-5.154960e+04
2.636620e+05,2.901580e-16,-5.623460e+04
2.856280e+05,2.808550e-16,-6.091920e+04
3.075910e+05,3.053000e-16,-6.560390e+04
3.295530e+05,2.866680e-16,-7.028810e+04
3.515140e+05,2.920190e-16,-7.497200e+04
3.734720e+05,2.778150e-16,-7.965570e+04
3.953920e+05,2.969020e-16,-8.433380e+04
4.169850e+05,2.780350e-16,-8.896380e+04
4.384100e+05,2.953770e-16,-9.360080e+04
4.598280e+05,2.912620e-16,-9.823660e+04
4.810270e+05,3.114000e-16,-1.028390e+05
5.020010e+05,2.911370e-16,-1.074380e+05
5.228100e+05,3.228410e-16,-1.120320e+05
5.435510e+05,3.122810e-16,-1.165500e+05
5.641110e+05,3.270840e-16,-1.210540e+05
5.844480e+05,3.035260e-16,-1.255240e+05
6.045820e+05,3.462070e-16,-1.300310e+05
6.241070e+05,3.152030e-16,-1.342960e+05
6.430220e+05,3.436120e-16,-1.383660e+05
6.614910e+05,3.245220e-16,-1.424670e+05
6.798170e+05,3.484680e-16,-1.465840e+05
6.979810e+05,3.467250e-16,-1.507100e+05
7.159230e+05,3.860960e-16,-1.548120e+05
7.334040e+05,3.668180e-16,-1.586010e+05
7.505310e+05,3.817480e-16,-1.623400e+05
7.672590e+05,3.640570e-16,-1.660630e+05
7.837910e+05,3.740040e-16,-1.697970e+05
8.001140e+05,3.821600e-16,-1.735670e+05
8.163540e+05,4.030280e-16,-1.772540e+05
8.323450e+05,4.015670e-16,-1.809230e+05
8.480880e+05,4.100530e-16,-1.843710e+05
8.633700e+05,4.156410e-16,-1.875620e+05
8.784220e+05,4.127380e-16,-1.907580e+05
8.933110e+05,4.159600e-16,-1.939780e+05
9.079290e+05,4.179110e-16,-1.972270e+05
9.224060e+05,4.296250e-16,-2.004440e+05
9.367810e+05,4.269970e-16,-2.036030e+05
9.510090e+05,4.284730e-16,-2.067390e+05
9.650680e+05,4.167070e-16,-2.097020e+05
9.787190e+05,4.457890e-16,-2.126080e+05
9.923230e+05,4.389300e-16,-2.154600e+05
1.005870e+06,4.257360e-16,-2.181320e+05
1.019160e+06,4.298890e-16,-2.208520e+05
1.032370e+06,4.361800e-16,-2.235650e+05
1.045470e+06,4.333510e-16,-2.262870e+05
1.058470e+06,4.537360e-16,-2.290120e+05
1.071300e+06,4.502360e-16,-2.316840e+05
1.084010e+06,4.538600e-16,-2.343390e+05
1.096630e+06,4.421360e-16,-2.369820e+05
1.109100e+06,4.447020e-16,-2.394310e+05
1.121340e+06,4.471450e-16,-2.419310e+05
1.133570e+06,4.492140e-16,-2.444300e+05
1.145740e+06,4.409140e-16,-2.468930e+05
1.157880e+06,4.435240e-16,-2.493450e+05
1.169890e+06,4.733380e-16,-2.518160e+05
1.181760e+06,4.556000e-16,-2.541050e+05
1.193600e+06,4.639320e-16,-2.563710e+05
1.205290e+06,4.705580e-16,-2.586720e+05
1.216950e+06,4.690540e-16,-2.609690e+05
1.228550e+06,4.661010e-16,-2.632590e+05
1.240100e+06,4.694190e-16,-2.655480e+05
1.251590e+06,4.888970e-16,-2.678450e+05
1.262980e+06,4.892380e-16,-2.701100e+05
1.274290e+06,4.765240e-16,-2.723440e+05
1.285510e+06,4.758080e-16,-2.744470e+05
1.296630e+06,4.841030e-16,-2.765530e+05
1.307600e+06,4.845700e-16,-2.786760e+05
1.318530e+06,4.840760e-16,-2.807940e+05
1.329370e+06,4.838370e-16,-2.829080e+05
1.340150e+06,4.815260e-16,-2.850250e+05
1.350920e+06,4.812940e-16,-2.871410e+05
1.361640e+06,4.817440e-16,-2.892600e+05
1.372320e+06,4.785320e-16,-2.913510e+05
1.382960e+06,4.714330e-16,-2.934120e+05
1.393590e+06,4.716890e-16,-2.954680e+05
1.404210e+06,4.709580e-16,-2.975220e+05
1.414780e+06,4.473310e-16,-2.995330e+05
1.425330e+06,4.458220e-16,-3.014720e+05
1.435870e+06,4.444150e-16,-3.034110e+05
1.446390e+06,4.448140e-16,-3.053490e+05
1.456810e+06,4.522260e-16,-3.073020e+05
1.467200e+06,4.517370e-16,-3.092520e+05
1.477560e+06,4.923920e-16,-3.112000e+05
1.487880e+06,4.929380e-16,-3.131270e+05
1.498180e+06,4.965060e-16,-3.150520e+05
1.508450e+06,4.924790e-16,-3.169750e+05
1.518690e+06,4.791700e-16,-3.188670e+05
1.528890e+06,4.789740e-16,-3.206750e+05
1.539060e+06,4.777630e-16,-3.224880e+05
1.549210e+06,4.761170e-16,-3.243020e+05
1.559270e+06,4.839920e-16,-3.261360e+05
1.569310e+06,4.869320e-16,-3.279750e+05
1.579290e+06,5.073830e-16,-3.297980e+05
1.589230e+06,5.087330e-16,-3.316050e+05
1.599140e+06,5.041970e-16,-3.333900e+05
1.609010e+06,5.023890e-16,-3.351680e+05
1.618830e+06,5.035100e-16,-3.369400e+05
1.628620e+06,5.032680e-16,-3.387090e+05
1.638370e+06,5.011250e-16,-3.404720e+05
1.648070e+06,5.026610e-16,-3.422370e+05
1.657740e+06,4.944920e-16,-3.439990e+05
1.667380e+06,4.933390e-16,-3.457430e+05
1.677010e+06,4.942460e-16,-3.474870e+05
1.686630e+06,4.938520e-16,-3.492290e+05
1.696230e+06,4.922580e-16,-3.509700e+05
1.705830e+06,4.931720e-16,-3.527100e+05
1.715400e+06,4.926410e-16,-3.544500e+05
1.724970e+06,4.932590e-16,-3.561900e+05
1.734530e+06,4.922710e-16,-3.579280e+05
1.744050e+06,4.933290e-16,-3.596620e+05
1.753550e+06,4.923710e-16,-3.613930e+05
1.763030e+06,4.924970e-16,-3.631180e+05
1.772490e+06,4.911680e-16,-3.648390e+05
