Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.000420,21975.510000,21975.500000
0.000840,43950.690000,43950.700000
0.001260,65925.480000,65925.500000
0.001680,87899.760000,87899.700000
0.002100,109873.410000,109873.000000
0.002520,131846.250000,131846.000000
0.002940,153818.460000,153818.000000
0.003360,175789.200000,175789.000000
0.003780,197759.100000,197759.000000
0.004200,219728.400000,219728.000000
0.004620,241695.900000,241696.000000
0.005040,263662.500000,263662.000000
0.005460,285627.300000,285628.000000
0.005880,307591.200000,307591.000000
0.006300,329553.000000,329553.000000
0.006720,351513.600000,351514.000000
0.007140,373472.400000,373472.000000
0.007560,395391.900000,395392.000000
0.007980,416985.300000,416985.000000
0.008400,438409.500000,438410.000000
0.008820,459827.700000,459828.000000
0.009240,481026.300000,481027.000000
0.009660,502001.400000,502001.000000
0.010080,522810.600000,522810.000000
0.010500,543550.500000,543551.000000
0.010920,564111.300000,564111.000000
0.011340,584447.700000,584448.000000
0.011760,604583.400000,604582.000000
0.012180,624110.700000,624107.000000
0.012600,643021.800000,643022.000000
0.013020,661492.800000,661491.000000
0.013440,679817.100000,679817.000000
0.013860,697982.100000,697981.000000
0.014280,715923.600000,715923.000000
0.014700,733409.400000,733404.000000
0.015120,750531.000000,750531.000000
0.015540,767260.800000,767259.000000
0.015960,783790.800000,783791.000000
0.016380,800115.900000,800114.000000
0.016800,816354.600000,816354.000000
0.017220,832347.600000,832345.000000
0.017640,848092.500000,848088.000000
0.018060,863374.500000,863370.000000
0.018480,878422.200000,878422.000000
0.018900,893313.600000,893311.000000
0.019320,907932.600000,907929.000000
0.019740,922406.100000,922406.000000
0.020160,936781.500000,936781.000000
0.020580,951009.600000,951009.000000
0.021000,965071.200000,965068.000000
0.021420,978718.800000,978719.000000
0.021840,992322.600000,992323.000000
0.022260,1005869.700000,1005870.000000
0.022680,1019166.300000,1019160.000000
0.023100,1032371.400000,1032370.000000
0.023520,1045469.700000,1045470.000000
0.023940,1058467.500000,1058470.000000
0.024360,1071304.200000,1071300.000000
0.024780,1084008.900000,1084010.000000
0.025200,1096631.100000,1096630.000000
0.025620,1109095.800000,1109100.000000
0.026040,1121348.700000,1121340.000000
0.026460,1133565.300000,1133570.000000
0.026880,1145736.900000,1145740.000000
0.027300,1157877.300000,1157880.000000
0.027720,1169892.300000,1169890.000000
0.028140,1181763.300000,1181760.000000
0.028560,1193602.200000,1193600.000000
0.028980,1205294.100000,1205290.000000
0.029400,1216945.800000,1216950.000000
0.029820,1228551.900000,1228550.000000
0.030240,1240106.700000,1240100.000000
0.030660,1251588.900000,1251590.000000
0.031080,1262979.900000,1262980.000000
0.031500,1274291.700000,1274290.000000
0.031920,1285512.600000,1285510.000000
0.032340,1296635.400000,1296630.000000
0.032760,1307597.100000,1307600.000000
0.033180,1318532.400000,1318530.000000
0.033600,1329366.900000,1329370.000000
0.034020,1340151.300000,1340150.000000
0.034440,1350921.900000,1350920.000000
0.034860,1361645.400000,1361640.000000
0.035280,1372316.700000,1372320.000000
0.035700,1382960.400000,1382960.000000
0.036120,1393589.700000,1393590.000000
0.036540,1404204.900000,1404210.000000
0.036960,1414786.500000,1414780.000000
0.037380,1425329.700000,1425330.000000
0.037800,1435865.400000,1435870.000000
0.038220,1446392.700000,1446390.000000
0.038640,1456813.500000,1456810.000000
0.039060,1467199.800000,1467200.000000
0.039480,1477566.900000,1477560.000000
0.039900,1487876.400000,1487880.000000
0.040320,1498175.100000,1498180.000000
0.040740,1508452.800000,1508450.000000
0.041160,1518691.200000,1518690.000000
0.041580,1528889.700000,1528890.000000
0.042000,1539060.000000,1539060.000000
0.042420,1549212.000000,1549210.000000
0.042840,1559282.100000,1559270.000000
0.043260,1569305.400000,1569310.000000
0.043680,1579293.900000,1579290.000000
0.044100,1589234.100000,1589230.000000
0.044520,1599138.000000,1599140.000000
0.044940,1609013.100000,1609010.000000
0.045360,1618833.900000,1618830.000000
0.045780,1628621.400000,1628620.000000
0.046200,1638367.200000,1638370.000000
0.046620,1648074.300000,1648070.000000
0.047040,1657741.500000,1657740.000000
0.047460,1667378.100000,1667380.000000
0.047880,1677006.300000,1677010.000000
0.048300,1686627.300000,1686630.000000
0.048720,1696231.500000,1696230.000000
0.049140,1705826.400000,1705830.000000
0.049560,1715402.400000,1715400.000000
0.049980,1724973.000000,1724970.000000
0.050400,1734525.000000,1734530.000000
0.050820,1744053.000000,1744050.000000
0.051240,1753551.000000,1753550.000000
0.051660,1763025.000000,1763030.000000
0.052080,1772484.000000,1772490.000000
0.052500,1781931.000000,1781930.000000
0.052920,1791360.000000,1791370.000000
0.053340,1800783.000000,1800780.000000
0.053760,1810182.000000,1810180.000000
0.054180,1819578.000000,1819580.000000
0.054600,1828962.000000,1828960.000000
0.055020,1838331.000000,1838330.000000
0.055440,1847679.000000,1847680.000000
0.055860,1857012.000000,1857010.000000
0.056280,1866306.000000,1866300.000000
0.056700,1875528.000000,1875520.000000
0.057120,1884723.000000,1884720.000000
0.057540,1893900.000000,1893900.000000
0.057960,1903062.000000,1903060.000000
0.058380,1912203.000000,1912200.000000
0.058800,1921317.000000,1921320.000000
0.059220,1930413.000000,1930410.000000
0.059640,1939500.000000,1939500.000000
0.060060,1948572.000000,1948570.000000
0.060480,1957638.000000,1957630.000000
0.060900,1966683.000000,1966680.000000
0.061320,1975725.000000,1975720.000000
0.061740,1984737.000000,1984730.000000
0.062160,1993689.000000,1993680.000000
0.062580,2002605.000000,2002610.000000
0.063000,2011518.000000,2011520.000000
0.063420,2020410.000000,2020410.000000
0.063840,2029278.000000,2029280.000000
0.064260,2038134.000000,2038130.000000
0.064680,2046978.000000,2046980.000000
0.065100,2055816.000000,2055820.000000
0.065520,2064639.000000,2064640.000000
0.065940,2073453.000000,2073460.000000
0.066360,2082258.000000,2082260.000000
0.066780,2091036.000000,2091040.000000
0.067200,2099814.000000,2099810.000000
0.067620,2108565.000000,2108570.000000
0.068040,2117301.000000,2117300.000000
0.068460,2126034.000000,2126030.000000
0.068880,2134749.000000,2134750.000000
0.069300,2143440.000000,2143440.000000
0.069720,2152113.000000,2152120.000000
0.070140,2160756.000000,2160760.000000
0.070560,2169378.000000,2169380.000000
0.070980,2177982.000000,2177980.000000
0.071400,2186583.000000,2186580.000000
0.071820,2195157.000000,2195160.000000
0.072240,2203713.000000,2203710.000000
0.072660,2212251.000000,2212250.000000
0.073080,2220765.000000,2220770.000000
0.073500,2229258.000000,2229260.000000
0.073920,2237730.000000,2237720.000000
0.074340,2246169.000000,2246170.000000
0.074760,2254584.000000,2254580.000000
0.075180,2262978.000000,2262980.000000
0.075600,2271351.000000,2271350.000000
0.076020,2279697.000000,2279700.000000
0.076440,2288037.000000,2288040.000000
0.076860,2296359.000000,2296360.000000
0.077280,2304648.000000,2304650.000000
0.077700,2312925.000000,2312920.000000
0.078120,2321172.000000,2321170.000000
0.078540,2329389.000000,2329390.000000
0.078960,2337585.000000,2337580.000000
0.079380,2345757.000000,2345760.000000
0.079800,2353902.000000,2353900.000000
0.080220,2362014.000000,2362010.000000
0.080640,2370099.000000,2370100.000000
0.081060,2378142.000000,2378140.000000
0.081480,2386149.000000,2386150.000000
0.081900,2394105.000000,2394110.000000
0.082320,2402016.000000,2402020.000000
0.082740,2409873.000000,2409870.000000
0.083160,2417667.000000,2417670.000000
0.083580,2425410.000000,2425410.000000
0.084000,2433078.000000,2433070.000000
0.084420,2440665.000000,2440660.000000
0.084840,2448195.000000,2448190.000000
0.085260,2455668.000000,2455670.000000
0.085680,2463087.000000,2463090.000000
0.086100,2470446.000000,2470450.000000
0.086520,2477763.000000,2477760.000000
0.086940,2485032.000000,2485030.000000
0.087360,2492256.000000,2492250.000000
0.087780,2499432.000000,2499430.000000
0.088200,2506566.000000,2506560.000000
0.088620,2513655.000000,2513650.000000
0.089040,2520699.000000,2520700.000000
0.089460,2527701.000000,2527700.000000
0.089880,2534664.000000,2534660.000000
0.090300,2541579.000000,2541580.000000
0.090720,2548440.000000,2548440.000000
0.091140,2555262.000000,2555260.000000
0.091560,2562042.000000,2562040.000000
0.091980,2568777.000000,2568780.000000
0.092400,2575479.000000,2575480.000000
0.092820,2582142.000000,2582140.000000
0.093240,2588775.000000,2588770.000000
0.093660,2595372.000000,2595370.000000
0.094080,2601945.000000,2601950.000000
0.094500,2608494.000000,2608490.000000
0.094920,2615022.000000,2615010.000000
0.095340,2621532.000000,2621530.000000
0.095760,2628024.000000,2628020.000000
0.096180,2634504.000000,2634500.000000
0.096600,2640960.000000,2640970.000000
0.097020,2647416.000000,2647420.000000
0.097440,2653854.000000,2653850.000000
0.097860,2660265.000000,2660270.000000
0.098280,2666670.000000,2666670.000000
0.098700,2673060.000000,2673060.000000
0.099120,2679438.000000,2679440.000000
0.099540,2685798.000000,2685800.000000
0.099960,2692152.000000,2692150.000000
0.100380,2698479.000000,2698480.000000
0.100800,2704803.000000,2704800.000000
0.101220,2711109.000000,2711110.000000
0.101640,2717403.000000,2717400.000000
0.102060,2723685.000000,2723680.000000
0.102480,2729940.000000,2729940.000000
0.102900,2736141.000000,2736130.000000
0.103320,2742294.000000,2742290.000000
0.103740,2748432.000000,2748430.000000
0.104160,2754483.000000,2754470.000000
0.104580,2760453.000000,2760450.000000
0.105000,2766414.000000,2766410.000000
0.105420,2772363.000000,2772360.000000
0.105840,2778249.000000,2778250.000000
0.106260,2784120.000000,2784120.000000
0.106680,2789973.000000,2789970.000000
0.107100,2795790.000000,2795790.000000
0.107520,2801589.000000,2801590.000000
0.107940,2807358.000000,2807370.000000
0.108360,2813103.000000,2813110.000000
0.108780,2818818.000000,2818810.000000
0.109200,2824485.000000,2824490.000000
0.109620,2830116.000000,2830110.000000
0.110040,2835681.000000,2835680.000000
0.110460,2841189.000000,2841190.000000
0.110880,2846634.000000,2846630.000000
0.111300,2852001.000000,2852000.000000
0.111720,2857290.000000,2857290.000000
0.112140,2862498.000000,2862500.000000
0.112560,2867625.000000,2867620.000000
