Time,Moment_My_N-m,Curvature_phi_y_rad/m
3.614260e+04,-1.555650e-16,-5.756920e+03
7.228490e+04,-1.412510e-16,-1.151380e+04
1.084270e+05,-1.494410e-16,-1.727050e+04
1.445680e+05,-1.521530e-16,-2.302710e+04
1.807090e+05,-1.502450e-16,-2.878370e+04
2.168490e+05,-1.511030e-16,-3.454010e+04
2.529880e+05,-1.499070e-16,-4.029630e+04
2.891260e+05,-1.508170e-16,-4.605220e+04
3.252620e+05,-1.495060e-16,-5.180780e+04
3.613980e+05,-1.509980e-16,-5.756350e+04
3.975320e+05,-1.491500e-16,-6.331910e+04
4.336650e+05,-1.503550e-16,-6.907400e+04
4.697970e+05,-1.485310e-16,-7.482910e+04
5.059270e+05,-1.501820e-16,-8.058400e+04
5.420550e+05,-1.485240e-16,-8.633830e+04
5.781810e+05,-1.496340e-16,-9.209240e+04
6.143050e+05,-1.480120e-16,-9.784650e+04
6.500280e+05,-1.437670e-16,-1.035640e+05
6.853320e+05,-1.454340e-16,-1.092690e+05
7.206190e+05,-1.470920e-16,-1.149760e+05
7.556830e+05,-1.427710e-16,-1.206610e+05
7.902520e+05,-1.421170e-16,-1.263170e+05
8.246910e+05,-1.442890e-16,-1.320090e+05
8.590580e+05,-1.522920e-16,-1.376200e+05
8.932860e+05,-1.494510e-16,-1.431980e+05
9.271010e+05,-1.533350e-16,-1.487600e+05
9.604930e+05,-1.626250e-16,-1.543130e+05
9.932560e+05,-1.688060e-16,-1.597750e+05
1.024690e+06,-1.570220e-16,-1.648500e+05
1.055610e+06,-1.688940e-16,-1.699270e+05
1.086260e+06,-1.641520e-16,-1.750610e+05
1.116470e+06,-1.759160e-16,-1.801750e+05
1.146240e+06,-1.854720e-16,-1.852770e+05
1.175490e+06,-1.905380e-16,-1.900770e+05
1.204010e+06,-1.991280e-16,-1.947330e+05
1.232140e+06,-2.011100e-16,-1.993830e+05
1.259960e+06,-2.068910e-16,-2.040900e+05
1.287620e+06,-2.086180e-16,-2.088370e+05
1.315100e+06,-2.150960e-16,-2.134790e+05
1.342410e+06,-2.163380e-16,-2.181160e+05
1.369210e+06,-2.160940e-16,-2.224620e+05
