Time,Moment_My_N-m,Curvature_phi_y_rad/m
1.131210e+04,-1.857950e-17,-6.139590e+03
2.262410e+04,-1.202000e-17,-1.227910e+04
3.393600e+04,-3.396200e-18,-1.841850e+04
4.524760e+04,3.935440e-18,-2.455780e+04
5.655900e+04,9.741780e-18,-3.069690e+04
6.787010e+04,1.431000e-17,-3.683580e+04
7.918070e+04,1.779740e-17,-4.297440e+04
9.049100e+04,2.051490e-17,-4.911300e+04
1.018010e+05,2.260870e-17,-5.525130e+04
1.131100e+05,2.425320e-17,-6.138930e+04
1.244190e+05,2.546440e-17,-6.752730e+04
1.357270e+05,2.647340e-17,-7.366470e+04
1.470350e+05,2.718730e-17,-7.980210e+04
1.583410e+05,2.777160e-17,-8.593920e+04
1.696470e+05,2.819570e-17,-9.207600e+04
1.809530e+05,2.856370e-17,-9.821230e+04
1.921820e+05,2.928870e-17,-1.043280e+05
2.032580e+05,2.997800e-17,-1.103910e+05
2.143260e+05,2.949040e-17,-1.164490e+05
2.253290e+05,2.976500e-17,-1.224910e+05
2.361460e+05,3.041350e-17,-1.284640e+05
2.468930e+05,2.974940e-17,-1.344120e+05
2.575890e+05,2.935980e-17,-1.403780e+05
2.682280e+05,2.938390e-17,-1.463280e+05
2.787100e+05,2.954240e-17,-1.522180e+05
2.891150e+05,2.893990e-17,-1.580820e+05
2.993300e+05,2.932730e-17,-1.639220e+05
3.093130e+05,2.954690e-17,-1.696820e+05
3.192020e+05,2.883900e-17,-1.754080e+05
3.289630e+05,2.997430e-17,-1.810600e+05
3.386440e+05,2.816820e-17,-1.866430e+05
3.482160e+05,2.675370e-17,-1.922130e+05
3.575950e+05,2.434430e-17,-1.977560e+05
3.667350e+05,2.156110e-17,-2.030410e+05
3.756430e+05,1.996750e-17,-2.081490e+05
3.844630e+05,1.921840e-17,-2.132310e+05
3.931690e+05,1.742370e-17,-2.183930e+05
4.018310e+05,1.617450e-17,-2.235570e+05
4.104670e+05,1.510170e-17,-2.287430e+05
4.190040e+05,1.447210e-17,-2.338930e+05
4.273640e+05,1.406490e-17,-2.387870e+05
4.355620e+05,1.368990e-17,-2.436010e+05
4.437210e+05,1.315180e-17,-2.483800e+05
4.517980e+05,1.346970e-17,-2.530900e+05
4.597420e+05,1.289100e-17,-2.578440e+05
4.676000e+05,1.208150e-17,-2.625790e+05
4.754210e+05,1.124320e-17,-2.672160e+05
4.831970e+05,1.076690e-17,-2.718410e+05
4.909230e+05,8.559160e-18,-2.763350e+05
4.985170e+05,7.123940e-18,-2.805150e+05
5.059880e+05,5.455550e-18,-2.845340e+05
5.133810e+05,4.010700e-18,-2.885940e+05
5.206840e+05,3.593090e-18,-2.926760e+05
5.279110e+05,4.038600e-20,-2.967680e+05
5.350510e+05,-2.743810e-18,-3.009150e+05
5.421390e+05,-5.645550e-18,-3.050490e+05
5.491580e+05,-1.042140e-17,-3.090820e+05
5.561560e+05,-1.479020e-17,-3.130840e+05
5.630950e+05,-1.853450e-17,-3.168200e+05
5.699310e+05,-2.053050e-17,-3.205490e+05
5.767240e+05,-2.262570e-17,-3.242770e+05
5.834410e+05,-2.315970e-17,-3.277490e+05
5.900690e+05,-2.464250e-17,-3.312670e+05
5.966020e+05,-3.010600e-17,-3.348460e+05
6.030920e+05,-3.718690e-17,-3.383650e+05
6.095380e+05,-4.082700e-17,-3.418550e+05
6.159410e+05,-4.363870e-17,-3.453570e+05
6.223140e+05,-4.598180e-17,-3.488930e+05
6.286810e+05,-4.749230e-17,-3.524290e+05
6.349930e+05,-4.730090e-17,-3.557770e+05
6.412490e+05,-4.766820e-17,-3.589640e+05
6.474130e+05,-5.063960e-17,-3.620880e+05
6.535290e+05,-5.173220e-17,-3.651920e+05
6.595870e+05,-5.238710e-17,-3.682870e+05
6.656010e+05,-5.300670e-17,-3.713830e+05
6.715700e+05,-5.360230e-17,-3.745170e+05
6.774780e+05,-5.218830e-17,-3.775220e+05
6.833220e+05,-5.276370e-17,-3.804580e+05
6.891550e+05,-5.410660e-17,-3.833990e+05
6.949370e+05,-5.455450e-17,-3.863790e+05
7.006810e+05,-5.502050e-17,-3.893550e+05
7.064180e+05,-5.566380e-17,-3.923200e+05
7.121310e+05,-6.020360e-17,-3.952300e+05
7.178220e+05,-6.050510e-17,-3.981370e+05
7.234790e+05,-6.120300e-17,-4.010720e+05
7.290960e+05,-5.944510e-17,-4.038990e+05
7.346490e+05,-5.979670e-17,-4.065400e+05
7.401890e+05,-6.032030e-17,-4.091650e+05
7.456920e+05,-6.089120e-17,-4.118220e+05
7.511770e+05,-6.137060e-17,-4.144810e+05
7.566480e+05,-6.475280e-17,-4.171320e+05
7.620830e+05,-6.424730e-17,-4.197180e+05
7.675080e+05,-6.463880e-17,-4.222920e+05
7.729200e+05,-6.531590e-17,-4.248680e+05
7.782890e+05,-6.565630e-17,-4.274820e+05
7.836470e+05,-6.608430e-17,-4.300930e+05
7.889720e+05,-6.629170e-17,-4.327070e+05
7.942750e+05,-6.671760e-17,-4.353180e+05
7.995730e+05,-6.692330e-17,-4.379280e+05
8.048310e+05,-6.440260e-17,-4.404060e+05
8.100830e+05,-6.485320e-17,-4.428690e+05
8.153230e+05,-6.503590e-17,-4.453320e+05
8.205560e+05,-6.472950e-17,-4.477880e+05
8.257560e+05,-6.605060e-17,-4.502630e+05
8.309340e+05,-6.615140e-17,-4.527400e+05
8.360770e+05,-6.684450e-17,-4.552100e+05
8.412080e+05,-6.734350e-17,-4.576630e+05
8.463100e+05,-6.669770e-17,-4.600550e+05
8.514060e+05,-6.704000e-17,-4.624420e+05
8.564860e+05,-6.564540e-17,-4.648030e+05
8.615210e+05,-6.580570e-17,-4.670060e+05
8.665410e+05,-6.656330e-17,-4.692070e+05
8.715330e+05,-6.667930e-17,-4.714280e+05
8.765160e+05,-7.234110e-17,-4.736290e+05
8.814660e+05,-7.357280e-17,-4.758510e+05
