Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.000700,43776.360000,43776.300000
0.001400,87551.960000,87551.900000
0.002100,131326.480000,131326.000000
0.002800,175099.480000,175100.000000
0.003500,218871.200000,218871.000000
0.004200,262640.800000,262641.000000
0.004900,306407.200000,306407.000000
0.005600,350170.400000,350171.000000
0.006300,393931.600000,393932.000000
0.007000,437689.600000,437689.000000
0.007700,481443.200000,481443.000000
0.008400,525192.400000,525193.000000
0.009100,568621.200000,568621.000000
0.009800,611846.000000,611846.000000
0.010500,654467.200000,654468.000000
0.011200,696553.200000,696553.000000
0.011900,738473.200000,738473.000000
0.012600,779846.000000,779846.000000
0.013300,820775.200000,820775.000000
0.014000,860877.200000,860877.000000
0.014700,900069.200000,900069.000000
0.015400,938706.000000,938706.000000
0.016100,976134.000000,976134.000000
0.016800,1012571.200000,1012570.000000
0.017500,1048351.200000,1048350.000000
0.018200,1083389.200000,1083390.000000
0.018900,1117740.800000,1117740.000000
0.019600,1151464.000000,1151460.000000
0.020300,1184496.000000,1184500.000000
0.021000,1217154.800000,1217150.000000
0.021700,1249250.800000,1249250.000000
0.022400,1280588.400000,1280590.000000
0.023100,1311273.200000,1311270.000000
0.023800,1341568.000000,1341570.000000
0.024500,1371472.400000,1371470.000000
0.025200,1401117.600000,1401120.000000
0.025900,1430223.200000,1430220.000000
0.026600,1458862.000000,1458860.000000
0.027300,1486943.200000,1486940.000000
0.028000,1514555.200000,1514550.000000
0.028700,1541863.200000,1541860.000000
0.029400,1568843.600000,1568850.000000
0.030100,1595613.600000,1595610.000000
0.030800,1622090.000000,1622090.000000
0.031500,1648150.000000,1648140.000000
0.032200,1673642.400000,1673630.000000
0.032900,1698836.800000,1698840.000000
0.033600,1723886.400000,1723880.000000
0.034300,1748706.800000,1748700.000000
0.035000,1773232.800000,1773230.000000
0.035700,1797579.200000,1797580.000000
0.036400,1821675.200000,1821670.000000
0.037100,1845556.800000,1845550.000000
0.037800,1869234.400000,1869230.000000
0.038500,1892718.800000,1892710.000000
0.039200,1915728.800000,1915720.000000
0.039900,1938436.000000,1938430.000000
0.040600,1961016.000000,1961020.000000
0.041300,1983496.000000,1983490.000000
0.042000,2005852.000000,2005850.000000
0.042700,2028044.000000,2028040.000000
0.043400,2049940.000000,2049930.000000
0.044100,2071544.000000,2071540.000000
0.044800,2092940.000000,2092940.000000
0.045500,2114224.000000,2114220.000000
0.046200,2135452.000000,2135450.000000
0.046900,2156616.000000,2156620.000000
0.047600,2177712.000000,2177710.000000
0.048300,2198592.000000,2198590.000000
0.049000,2219400.000000,2219400.000000
0.049700,2240092.000000,2240080.000000
0.050400,2260628.000000,2260620.000000
0.051100,2281096.000000,2281090.000000
0.051800,2301476.000000,2301480.000000
0.052500,2321800.000000,2321800.000000
0.053200,2342004.000000,2342000.000000
0.053900,2362080.000000,2362080.000000
0.054600,2382068.000000,2382060.000000
0.055300,2401908.000000,2401900.000000
0.056000,2421556.000000,2421550.000000
0.056700,2441040.000000,2441040.000000
0.057400,2460452.000000,2460450.000000
0.058100,2479784.000000,2479780.000000
0.058800,2499028.000000,2499030.000000
0.059500,2518200.000000,2518200.000000
0.060200,2537324.000000,2537320.000000
0.060900,2556356.000000,2556350.000000
0.061600,2575256.000000,2575240.000000
0.062300,2593996.000000,2594000.000000
0.063000,2612688.000000,2612690.000000
0.063700,2631328.000000,2631320.000000
0.064400,2649900.000000,2649900.000000
0.065100,2668424.000000,2668430.000000
0.065800,2686916.000000,2686910.000000
0.066500,2705336.000000,2705330.000000
0.067200,2723640.000000,2723640.000000
0.067900,2741816.000000,2741810.000000
0.068600,2759884.000000,2759890.000000
0.069300,2777892.000000,2777890.000000
0.070000,2795852.000000,2795850.000000
0.070700,2813776.000000,2813770.000000
0.071400,2831656.000000,2831660.000000
0.072100,2849500.000000,2849500.000000
0.072800,2867272.000000,2867270.000000
0.073500,2884988.000000,2884990.000000
0.074200,2902640.000000,2902630.000000
0.074900,2920192.000000,2920190.000000
0.075600,2937696.000000,2937700.000000
0.076300,2955144.000000,2955140.000000
0.077000,2972520.000000,2972520.000000
0.077700,2989836.000000,2989840.000000
0.078400,3007084.000000,3007080.000000
0.079100,3024240.000000,3024230.000000
0.079800,3041340.000000,3041340.000000
0.080500,3058404.000000,3058400.000000
0.081200,3075432.000000,3075430.000000
0.081900,3092404.000000,3092400.000000
0.082600,3109340.000000,3109340.000000
0.083300,3126224.000000,3126220.000000
0.084000,3143056.000000,3143060.000000
0.084700,3159816.000000,3159810.000000
0.085400,3176464.000000,3176460.000000
0.086100,3193032.000000,3193030.000000
0.086800,3209548.000000,3209550.000000
0.087500,3226008.000000,3226010.000000
0.088200,3242424.000000,3242420.000000
0.088900,3258784.000000,3258780.000000
0.089600,3275104.000000,3275100.000000
0.090300,3291376.000000,3291380.000000
0.091000,3307604.000000,3307600.000000
0.091700,3323776.000000,3323770.000000
0.092400,3339904.000000,3339900.000000
0.093100,3355948.000000,3355950.000000
0.093800,3371940.000000,3371940.000000
0.094500,3387856.000000,3387860.000000
0.095200,3403712.000000,3403710.000000
0.095900,3419504.000000,3419500.000000
0.096600,3435236.000000,3435240.000000
0.097300,3450892.000000,3450880.000000
0.098000,3466468.000000,3466470.000000
0.098700,3481976.000000,3481970.000000
0.099400,3497404.000000,3497400.000000
0.100100,3512732.000000,3512730.000000
0.100800,3527972.000000,3527970.000000
0.101500,3543144.000000,3543140.000000
0.102200,3558228.000000,3558230.000000
0.102900,3573208.000000,3573200.000000
0.103600,3588076.000000,3588080.000000
0.104300,3602876.000000,3602870.000000
0.105000,3617584.000000,3617580.000000
0.105700,3632228.000000,3632230.000000
0.106400,3646800.000000,3646800.000000
0.107100,3661308.000000,3661310.000000
0.107800,3675716.000000,3675710.000000
0.108500,3690028.000000,3690030.000000
0.109200,3704272.000000,3704270.000000
0.109900,3718428.000000,3718430.000000
0.110600,3732512.000000,3732510.000000
0.111300,3746500.000000,3746500.000000
0.112000,3760404.000000,3760390.000000
0.112700,3774184.000000,3774190.000000
0.113400,3787896.000000,3787900.000000
0.114100,3801508.000000,3801510.000000
0.114800,3815028.000000,3815030.000000
0.115500,3828448.000000,3828450.000000
0.116200,3841784.000000,3841780.000000
0.116900,3855032.000000,3855030.000000
0.117600,3868180.000000,3868170.000000
0.118300,3881244.000000,3881240.000000
0.119000,3894220.000000,3894220.000000
0.119700,3907116.000000,3907110.000000
0.120400,3919916.000000,3919920.000000
