Time,Moment_My_N-m,Curvature_phi_y_rad/m
4.377630e+04,-4.593850e-17,-8.744630e+03
8.755190e+04,-4.758940e-17,-1.748910e+04
1.313260e+05,-4.725170e-17,-2.623340e+04
1.751000e+05,-4.683830e-17,-3.497740e+04
2.188710e+05,-4.771280e-17,-4.372110e+04
2.626410e+05,-4.737050e-17,-5.246450e+04
3.064070e+05,-4.745580e-17,-6.120710e+04
3.501710e+05,-4.729330e-17,-6.994910e+04
3.939320e+05,-4.723810e-17,-7.869120e+04
4.376890e+05,-4.727810e-17,-8.743190e+04
4.814430e+05,-4.725940e-17,-9.617330e+04
5.251930e+05,-4.724770e-17,-1.049130e+05
5.686210e+05,-4.061130e-17,-1.136130e+05
6.118460e+05,-4.632240e-17,-1.222820e+05
6.544680e+05,-3.508840e-17,-1.308750e+05
6.965530e+05,-4.383340e-17,-1.394610e+05
7.384730e+05,-4.471590e-17,-1.480260e+05
7.798460e+05,-3.991190e-17,-1.565360e+05
8.207750e+05,-4.570900e-17,-1.650450e+05
8.608770e+05,-3.267510e-17,-1.734410e+05
9.000690e+05,-4.358300e-17,-1.817160e+05
9.387060e+05,-3.861070e-17,-1.898410e+05
9.761340e+05,-3.061300e-17,-1.978030e+05
1.012570e+06,-3.630080e-17,-2.056690e+05
1.048350e+06,-3.573420e-17,-2.136280e+05
1.083390e+06,-2.957440e-17,-2.209770e+05
1.117740e+06,-2.716120e-17,-2.282620e+05
1.151460e+06,-2.954630e-17,-2.355450e+05
1.184500e+06,-2.638130e-17,-2.427740e+05
1.217150e+06,-3.239660e-17,-2.500070e+05
1.249250e+06,-2.596830e-17,-2.567170e+05
1.280590e+06,-2.319380e-17,-2.632710e+05
1.311270e+06,-3.029370e-17,-2.698410e+05
1.341570e+06,-2.955200e-17,-2.763940e+05
1.371470e+06,-3.152890e-17,-2.829080e+05
1.401120e+06,-3.444770e-17,-2.893740e+05
1.430220e+06,-2.751320e-17,-2.952770e+05
1.458860e+06,-3.039500e-17,-3.006880e+05
1.486940e+06,-3.005890e-17,-3.061560e+05
1.514550e+06,-3.014960e-17,-3.117110e+05
1.541860e+06,-3.448600e-17,-3.171950e+05
1.568850e+06,-3.386340e-17,-3.226310e+05
1.595610e+06,-3.802710e-17,-3.279630e+05
1.622090e+06,-3.661580e-17,-3.328920e+05
1.648140e+06,-3.528760e-17,-3.377200e+05
1.673630e+06,-3.123400e-17,-3.422450e+05
1.698840e+06,-4.361190e-17,-3.467360e+05
1.723880e+06,-4.775020e-17,-3.512590e+05
1.748700e+06,-4.514680e-17,-3.557610e+05
1.773230e+06,-5.227630e-17,-3.602890e+05
1.797580e+06,-4.993410e-17,-3.648150e+05
1.821670e+06,-5.287460e-17,-3.690700e+05
1.845550e+06,-5.309840e-17,-3.731560e+05
1.869230e+06,-5.309150e-17,-3.772210e+05
1.892710e+06,-5.584200e-17,-3.812350e+05
1.915720e+06,-5.643270e-17,-3.852480e+05
1.938430e+06,-5.762810e-17,-3.889700e+05
1.961020e+06,-5.690210e-17,-3.926860e+05
1.983490e+06,-6.179530e-17,-3.963840e+05
2.005850e+06,-6.388970e-17,-4.000150e+05
2.028040e+06,-6.363180e-17,-4.035810e+05
2.049930e+06,-6.350900e-17,-4.072320e+05
2.071540e+06,-6.507410e-17,-4.107610e+05
2.092940e+06,-6.704760e-17,-4.141250e+05
2.114220e+06,-6.739440e-17,-4.174760e+05
2.135450e+06,-7.011220e-17,-4.208260e+05
2.156620e+06,-6.790820e-17,-4.241670e+05
2.177710e+06,-6.946900e-17,-4.275180e+05
2.198590e+06,-6.910200e-17,-4.308740e+05
2.219400e+06,-7.171460e-17,-4.341940e+05
2.240080e+06,-6.700060e-17,-4.375250e+05
2.260620e+06,-6.702440e-17,-4.406840e+05
2.281090e+06,-7.260850e-17,-4.437190e+05
2.301480e+06,-7.548060e-17,-4.467270e+05
2.321800e+06,-7.313400e-17,-4.497250e+05
2.342000e+06,-7.426740e-17,-4.527240e+05
2.362080e+06,-7.528680e-17,-4.557110e+05
2.382060e+06,-7.789950e-17,-4.586850e+05
2.401900e+06,-8.003140e-17,-4.615500e+05
2.421550e+06,-7.825850e-17,-4.642170e+05
2.441040e+06,-8.188950e-17,-4.669210e+05
2.460450e+06,-8.171220e-17,-4.696400e+05
2.479780e+06,-8.364570e-17,-4.723530e+05
2.499030e+06,-8.609960e-17,-4.750610e+05
2.518200e+06,-8.483790e-17,-4.777620e+05
2.537320e+06,-8.503390e-17,-4.804570e+05
2.556350e+06,-8.135650e-17,-4.831090e+05
2.575240e+06,-8.077840e-17,-4.857910e+05
2.594000e+06,-8.136140e-17,-4.884840e+05
2.612690e+06,-8.331090e-17,-4.911740e+05
2.631320e+06,-8.106780e-17,-4.938540e+05
2.649900e+06,-8.187860e-17,-4.965020e+05
2.668430e+06,-8.213470e-17,-4.991500e+05
2.686910e+06,-8.484330e-17,-5.017980e+05
2.705330e+06,-8.164620e-17,-5.044540e+05
2.723640e+06,-8.197280e-17,-5.071270e+05
2.741810e+06,-7.467700e-17,-5.096770e+05
2.759890e+06,-7.930900e-17,-5.121570e+05
2.777890e+06,-8.012850e-17,-5.146190e+05
2.795850e+06,-8.128020e-17,-5.170680e+05
2.813770e+06,-8.285540e-17,-5.195130e+05
2.831660e+06,-8.367300e-17,-5.219480e+05
2.849500e+06,-8.295890e-17,-5.243880e+05
2.867270e+06,-8.017640e-17,-5.268480e+05
2.884990e+06,-8.470300e-17,-5.293200e+05
2.902630e+06,-7.707080e-17,-5.316350e+05
2.920190e+06,-8.293430e-17,-5.339390e+05
2.937700e+06,-7.924210e-17,-5.362260e+05
2.955140e+06,-8.291410e-17,-5.384950e+05
2.972520e+06,-8.201560e-17,-5.407310e+05
2.989840e+06,-9.566500e-17,-5.429590e+05
3.007080e+06,-9.257210e-17,-5.451790e+05
3.024230e+06,-9.559260e-17,-5.474160e+05
3.041340e+06,-9.794240e-17,-5.496520e+05
3.058400e+06,-9.636660e-17,-5.518870e+05
3.075430e+06,-9.702050e-17,-5.541190e+05
3.092400e+06,-9.515260e-17,-5.563500e+05
3.109340e+06,-9.598680e-17,-5.585860e+05
3.126220e+06,-9.712320e-17,-5.608220e+05
3.143060e+06,-9.841590e-17,-5.630460e+05
3.159810e+06,-1.032390e-16,-5.652240e+05
3.176460e+06,-1.069330e-16,-5.674130e+05
3.193030e+06,-1.054000e-16,-5.696110e+05
3.209550e+06,-1.073120e-16,-5.718040e+05
3.226010e+06,-1.065420e-16,-5.739940e+05
3.242420e+06,-1.079460e-16,-5.761840e+05
3.258780e+06,-1.071470e-16,-5.783660e+05
3.275100e+06,-1.090410e-16,-5.805410e+05
3.291380e+06,-1.072760e-16,-5.827080e+05
3.307600e+06,-1.090040e-16,-5.848760e+05
3.323770e+06,-1.060400e-16,-5.870510e+05
3.339900e+06,-1.086450e-16,-5.892290e+05
3.355950e+06,-1.068820e-16,-5.914250e+05
3.371940e+06,-1.069710e-16,-5.936250e+05
3.387860e+06,-1.058080e-16,-5.958260e+05
3.403710e+06,-1.058380e-16,-5.980230e+05
3.419500e+06,-1.054570e-16,-6.002190e+05
3.435240e+06,-1.041260e-16,-6.024290e+05
3.450880e+06,-1.029870e-16,-6.046250e+05
3.466470e+06,-1.051770e-16,-6.068050e+05
3.481970e+06,-1.040820e-16,-6.089930e+05
3.497400e+06,-1.034600e-16,-6.111930e+05
3.512730e+06,-1.033000e-16,-6.134080e+05
3.527970e+06,-1.020540e-16,-6.156200e+05
3.543140e+06,-1.035800e-16,-6.178320e+05
3.558230e+06,-1.034360e-16,-6.200380e+05
3.573200e+06,-9.593360e-17,-6.221720e+05
3.588080e+06,-9.627320e-17,-6.242850e+05
3.602870e+06,-9.592920e-17,-6.263870e+05
3.617580e+06,-9.565190e-17,-6.284710e+05
3.632230e+06,-9.514590e-17,-6.305350e+05
3.646800e+06,-9.505140e-17,-6.325740e+05
3.661310e+06,-9.442750e-17,-6.345840e+05
3.675710e+06,-9.166940e-17,-6.365730e+05
3.690030e+06,-9.304810e-17,-6.385280e+05
3.704270e+06,-9.211870e-17,-6.404440e+05
3.718430e+06,-8.999530e-17,-6.423200e+05
3.732510e+06,-9.082190e-17,-6.441560e+05
3.746500e+06,-9.016280e-17,-6.459450e+05
3.760390e+06,-8.537710e-17,-6.476460e+05
3.774190e+06,-8.614390e-17,-6.492980e+05
3.787900e+06,-8.530080e-17,-6.509260e+05
3.801510e+06,-8.475270e-17,-6.525280e+05
3.815030e+06,-8.488270e-17,-6.541100e+05
3.828450e+06,-8.409730e-17,-6.556720e+05
3.841780e+06,-8.314780e-17,-6.572230e+05
3.855030e+06,-8.229440e-17,-6.587680e+05
3.868170e+06,-8.031120e-17,-6.603300e+05
3.881240e+06,-8.093120e-17,-6.618920e+05
3.894220e+06,-8.072250e-17,-6.634540e+05
3.907110e+06,-7.874280e-17,-6.650210e+05
3.919920e+06,-7.743850e-17,-6.665940e+05
3.932630e+06,-7.581130e-17,-6.681800e+05
3.945220e+06,-7.438260e-17,-6.697880e+05
3.957710e+06,-7.390490e-17,-6.714090e+05
3.970100e+06,-7.087150e-17,-6.730430e+05
3.982380e+06,-6.999610e-17,-6.746910e+05
3.994560e+06,-6.774830e-17,-6.763520e+05
4.006630e+06,-6.629590e-17,-6.780270e+05
4.018590e+06,-6.487710e-17,-6.797110e+05
4.030430e+06,-7.175420e-17,-6.813700e+05
4.042160e+06,-7.103540e-17,-6.829850e+05
4.053800e+06,-6.753020e-17,-6.845980e+05
4.065280e+06,-6.527430e-17,-6.862280e+05
4.076620e+06,-6.393720e-17,-6.878690e+05
4.087800e+06,-6.667540e-17,-6.893970e+05
4.098750e+06,-6.949630e-17,-6.908850e+05
4.109480e+06,-6.923210e-17,-6.923540e+05
4.120110e+06,-6.946470e-17,-6.937450e+05
4.130640e+06,-6.937410e-17,-6.950400e+05
4.141050e+06,-6.573160e-17,-6.962220e+05
4.151340e+06,-6.527530e-17,-6.972800e+05
4.161510e+06,-6.248690e-17,-6.982120e+05
4.171570e+06,-6.161060e-17,-6.990290e+05
4.181530e+06,-6.198160e-17,-6.997500e+05
4.191390e+06,-6.053270e-17,-7.003970e+05
4.201170e+06,-5.885960e-17,-7.009920e+05
4.210850e+06,-6.000780e-17,-7.015510e+05
4.220440e+06,-5.886500e-17,-7.020870e+05
4.229950e+06,-5.791530e-17,-7.026090e+05
4.239360e+06,-5.643510e-17,-7.031230e+05
