Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.000420,31791.800000,31791.800000
0.000840,63583.400000,63583.400000
0.001260,95374.650000,95374.600000
0.001680,127165.500000,127166.000000
0.002100,158956.000000,158956.000000
0.002520,190745.500000,190746.000000
0.002940,222535.000000,222535.000000
0.003360,254323.000000,254324.000000
0.003780,286111.500000,286111.000000
0.004200,317898.500000,317898.000000
0.004620,349684.500000,349684.000000
0.005040,381469.500000,381469.000000
0.005460,413253.000000,413253.000000
0.005880,445036.000000,445036.000000
0.006300,476776.000000,476776.000000
0.006720,508447.000000,508447.000000
0.007140,540040.000000,540039.000000
0.007560,571237.500000,571236.000000
0.007980,602384.000000,602384.000000
0.008400,633277.500000,633278.000000
0.008820,663848.500000,663848.000000
0.009240,693971.000000,693971.000000
0.009660,723700.500000,723699.000000
0.010080,753174.000000,753173.000000
0.010500,782220.500000,782219.000000
0.010920,810809.500000,810807.000000
0.011340,838400.500000,838395.000000
0.011760,865651.500000,865651.000000
0.012180,892650.000000,892648.000000
0.012600,919409.500000,919409.000000
0.013020,945790.500000,945790.000000
0.013440,971479.000000,971474.000000
0.013860,996407.000000,996406.000000
0.014280,1021101.000000,1021100.000000
0.014700,1045386.000000,1045380.000000
0.015120,1069456.000000,1069450.000000
0.015540,1093200.500000,1093200.000000
0.015960,1116520.500000,1116520.000000
0.016380,1139646.000000,1139640.000000
0.016800,1162635.500000,1162630.000000
0.017220,1185075.000000,1185070.000000
0.017640,1206759.500000,1206750.000000
0.018060,1228265.500000,1228270.000000
0.018480,1249657.500000,1249660.000000
0.018900,1270879.500000,1270880.000000
0.019320,1291981.500000,1291980.000000
0.019740,1312751.000000,1312750.000000
0.020160,1333294.500000,1333290.000000
0.020580,1353492.000000,1353490.000000
0.021000,1373505.000000,1373510.000000
0.021420,1393251.000000,1393240.000000
0.021840,1412767.500000,1412770.000000
0.022260,1432080.500000,1432080.000000
0.022680,1451252.000000,1451250.000000
0.023100,1470284.000000,1470280.000000
0.023520,1489181.500000,1489180.000000
0.023940,1508000.000000,1508000.000000
0.024360,1526721.500000,1526720.000000
0.024780,1545234.000000,1545230.000000
0.025200,1563536.000000,1563530.000000
0.025620,1581675.500000,1581680.000000
0.026040,1599729.500000,1599730.000000
0.026460,1617634.000000,1617630.000000
0.026880,1635304.000000,1635300.000000
0.027300,1652930.000000,1652920.000000
0.027720,1670430.000000,1670430.000000
0.028140,1687875.000000,1687870.000000
0.028560,1705255.000000,1705250.000000
0.028980,1722495.000000,1722500.000000
0.029400,1739635.000000,1739640.000000
0.029820,1756735.000000,1756740.000000
0.030240,1773815.000000,1773810.000000
0.030660,1790835.000000,1790830.000000
0.031080,1807735.000000,1807740.000000
0.031500,1824575.000000,1824570.000000
0.031920,1841300.000000,1841290.000000
0.032340,1857950.000000,1857950.000000
0.032760,1874515.000000,1874510.000000
0.033180,1891030.000000,1891030.000000
0.033600,1907510.000000,1907510.000000
0.034020,1923935.000000,1923940.000000
0.034440,1940285.000000,1940290.000000
0.034860,1956585.000000,1956590.000000
0.035280,1972800.000000,1972800.000000
0.035700,1988900.000000,1988890.000000
0.036120,2004940.000000,2004940.000000
0.036540,2020925.000000,2020920.000000
0.036960,2036800.000000,2036800.000000
0.037380,2052640.000000,2052640.000000
0.037800,2068410.000000,2068410.000000
0.038220,2084150.000000,2084150.000000
