Time,Moment_My_N-m,Curvature_phi_y_rad/m
3.179180e+04,-1.032420e-16,-4.471330e+03
6.358340e+04,-2.111730e-16,-8.942630e+03
9.537460e+04,-2.810620e-16,-1.341390e+04
1.271660e+05,-2.887470e-16,-1.788510e+04
1.589560e+05,-3.082100e-16,-2.235620e+04
1.907460e+05,-3.113090e-16,-2.682720e+04
2.225350e+05,-3.067740e-16,-3.129820e+04
2.543240e+05,-3.119760e-16,-3.576910e+04
2.861110e+05,-3.172380e-16,-4.023990e+04
3.178980e+05,-2.900160e-16,-4.471050e+04
3.496840e+05,-3.084390e-16,-4.918110e+04
3.814690e+05,-3.118280e-16,-5.365150e+04
4.132530e+05,-3.105190e-16,-5.812180e+04
4.450360e+05,-2.984380e-16,-6.259200e+04
4.767760e+05,-3.091510e-16,-6.707030e+04
5.084470e+05,-3.170200e-16,-7.156160e+04
5.400390e+05,-3.290540e-16,-7.595710e+04
5.712360e+05,-3.208240e-16,-8.034850e+04
6.023840e+05,-3.268820e-16,-8.474830e+04
6.332780e+05,-3.326310e-16,-8.904220e+04
6.638480e+05,-3.502350e-16,-9.333490e+04
6.939710e+05,-3.089660e-16,-9.764540e+04
7.236990e+05,-3.602150e-16,-1.016830e+05
7.531730e+05,-3.411730e-16,-1.056770e+05
7.822190e+05,-3.545840e-16,-1.096380e+05
8.108070e+05,-3.445770e-16,-1.135930e+05
8.383950e+05,-3.514540e-16,-1.172990e+05
8.656510e+05,-3.398990e-16,-1.209660e+05
8.926480e+05,-3.923330e-16,-1.245300e+05
9.194090e+05,-3.844190e-16,-1.280870e+05
9.457900e+05,-3.837120e-16,-1.316220e+05
9.714740e+05,-3.584710e-16,-1.351420e+05
9.964060e+05,-3.542640e-16,-1.384930e+05
1.021100e+06,-3.987450e-16,-1.418120e+05
1.045380e+06,-3.752060e-16,-1.450400e+05
1.069450e+06,-4.292980e-16,-1.481320e+05
1.093200e+06,-3.925970e-16,-1.512310e+05
1.116520e+06,-3.800510e-16,-1.543210e+05
1.139640e+06,-3.855800e-16,-1.574290e+05
1.162630e+06,-3.923230e-16,-1.605400e+05
1.185070e+06,-3.749630e-16,-1.635270e+05
1.206750e+06,-3.789450e-16,-1.663200e+05
1.228270e+06,-3.839080e-16,-1.690740e+05
1.249660e+06,-3.655650e-16,-1.718260e+05
1.270880e+06,-3.634270e-16,-1.745710e+05
1.291980e+06,-4.012190e-16,-1.773130e+05
1.312750e+06,-3.893340e-16,-1.800600e+05
1.333290e+06,-4.000060e-16,-1.827990e+05
1.353490e+06,-3.990910e-16,-1.854860e+05
1.373510e+06,-4.014500e-16,-1.881570e+05
1.393240e+06,-4.097920e-16,-1.907230e+05
1.412770e+06,-3.980250e-16,-1.932730e+05
1.432080e+06,-3.734610e-16,-1.957390e+05
1.451250e+06,-3.729420e-16,-1.981630e+05
1.470280e+06,-3.848420e-16,-2.005920e+05
1.489180e+06,-3.803050e-16,-2.029980e+05
1.508000e+06,-3.821550e-16,-2.054000e+05
1.526720e+06,-3.744810e-16,-2.078010e+05
1.545230e+06,-3.616880e-16,-2.102080e+05
1.563530e+06,-3.368850e-16,-2.125910e+05
1.581680e+06,-3.261060e-16,-2.149580e+05
1.599730e+06,-3.078070e-16,-2.173180e+05
1.617630e+06,-2.863750e-16,-2.196780e+05
1.635300e+06,-2.635270e-16,-2.219670e+05
1.652920e+06,-2.542770e-16,-2.242500e+05
1.670430e+06,-2.468110e-16,-2.265410e+05
1.687870e+06,-2.395020e-16,-2.288280e+05
1.705250e+06,-2.296840e-16,-2.311080e+05
1.722500e+06,-2.266030e-16,-2.333780e+05
1.739640e+06,-2.043690e-16,-2.356350e+05
1.756740e+06,-1.664510e-16,-2.378920e+05
1.773810e+06,-1.341420e-16,-2.401490e+05
1.790830e+06,-1.091110e-16,-2.423930e+05
1.807740e+06,-1.003830e-16,-2.445690e+05
1.824570e+06,-9.535530e-17,-2.467390e+05
1.841290e+06,-9.716130e-17,-2.489080e+05
1.857950e+06,-8.895800e-17,-2.510820e+05
1.874510e+06,-1.004150e-16,-2.532590e+05
1.891030e+06,-9.488640e-17,-2.554300e+05
1.907510e+06,-9.865410e-17,-2.576000e+05
1.923940e+06,-9.242110e-17,-2.597660e+05
1.940290e+06,-9.214540e-17,-2.619210e+05
1.956590e+06,-9.118640e-17,-2.640730e+05
1.972800e+06,-9.430410e-17,-2.662130e+05
1.988890e+06,-8.996850e-17,-2.683060e+05
2.004940e+06,-8.585910e-17,-2.703870e+05
2.020920e+06,-8.565000e-17,-2.724610e+05
2.036800e+06,-8.474870e-17,-2.745270e+05
2.052640e+06,-8.220260e-17,-2.765890e+05
2.068410e+06,-8.123490e-17,-2.786540e+05
2.084150e+06,-7.731300e-17,-2.807170e+05
2.099860e+06,-8.025300e-17,-2.827790e+05
2.115490e+06,-8.013330e-17,-2.848410e+05
2.131070e+06,-7.813310e-17,-2.869050e+05
2.146610e+06,-7.753520e-17,-2.889670e+05
2.162080e+06,-7.773070e-17,-2.910300e+05
2.177490e+06,-7.382830e-17,-2.930870e+05
2.192820e+06,-7.630990e-17,-2.951340e+05
2.208070e+06,-7.654500e-17,-2.971710e+05
2.223240e+06,-7.689810e-17,-2.991970e+05
2.238380e+06,-7.271900e-17,-3.012230e+05
2.253440e+06,-7.352240e-17,-3.032460e+05
2.268410e+06,-6.798770e-17,-3.052430e+05
2.283360e+06,-5.197260e-17,-3.072370e+05
2.298280e+06,-3.792430e-17,-3.092290e+05
2.313190e+06,-3.206580e-17,-3.112180e+05
2.328080e+06,-2.645390e-17,-3.132080e+05
2.342930e+06,-2.577400e-17,-3.151990e+05
2.357730e+06,-2.013570e-17,-3.171860e+05
2.372500e+06,-1.842650e-17,-3.191760e+05
2.387270e+06,-1.499350e-17,-3.211660e+05
2.402000e+06,-1.602690e-17,-3.231530e+05
2.416720e+06,-1.487770e-17,-3.251380e+05
2.431400e+06,-1.497360e-17,-3.271180e+05
2.446050e+06,-8.581650e-18,-3.290970e+05
2.460670e+06,-1.068260e-17,-3.310740e+05
2.475260e+06,-5.502570e-18,-3.330330e+05
2.489780e+06,-8.318280e-18,-3.349740e+05
2.504260e+06,-6.035080e-18,-3.369110e+05
2.518720e+06,-7.115400e-18,-3.388460e+05
2.533160e+06,-3.280570e-18,-3.407790e+05
2.547560e+06,-5.584520e-18,-3.427130e+05
2.561940e+06,-3.774400e-18,-3.446460e+05
2.576280e+06,-5.447820e-18,-3.465740e+05
2.590600e+06,-2.123710e-18,-3.484960e+05
2.604870e+06,-8.487910e-19,-3.504030e+05
