Time,Moment_My_N-m,Curvature_phi_y_rad/m
4.150640e+04,2.792350e-17,-3.325750e+03
8.301170e+04,4.951360e-17,-6.651440e+03
1.245160e+05,2.712770e-17,-9.977040e+03
1.660180e+05,2.203150e-17,-1.330260e+04
2.075190e+05,1.886920e-17,-1.662800e+04
2.490180e+05,2.542580e-17,-1.995330e+04
2.905150e+05,1.917210e-17,-2.327850e+04
3.320100e+05,1.840260e-17,-2.660360e+04
3.735020e+05,2.732470e-17,-2.992830e+04
4.149920e+05,2.157400e-17,-3.325310e+04
4.564760e+05,2.567040e-17,-3.657690e+04
4.979600e+05,1.961430e-17,-3.990140e+04
5.394400e+05,1.723130e-17,-4.322560e+04
5.809170e+05,3.175190e-17,-4.654930e+04
6.223910e+05,2.082600e-17,-4.987320e+04
6.638600e+05,1.781640e-17,-5.319630e+04
7.053260e+05,2.027850e-17,-5.651940e+04
7.467210e+05,1.635550e-17,-5.983580e+04
7.880410e+05,1.720180e-17,-6.314420e+04
8.291350e+05,1.335210e-17,-6.647050e+04
8.699300e+05,1.619730e-17,-6.979830e+04
9.103320e+05,1.517250e-17,-7.299390e+04
9.504420e+05,1.612400e-17,-7.619390e+04
9.899980e+05,1.378990e-17,-7.940640e+04
1.029270e+06,1.973360e-17,-8.256910e+04
1.068210e+06,2.321490e-17,-8.564540e+04
1.106810e+06,2.268620e-17,-8.871150e+04
1.144780e+06,1.618370e-17,-9.177340e+04
1.181870e+06,1.764740e-17,-9.470220e+04
1.218530e+06,1.586720e-17,-9.753150e+04
1.254730e+06,1.642740e-17,-1.003210e+05
1.290530e+06,1.019480e-17,-1.030520e+05
1.325700e+06,9.745750e-18,-1.057270e+05
1.359750e+06,-1.715600e-17,-1.083190e+05
1.392990e+06,9.732030e-18,-1.108630e+05
1.425440e+06,-2.149530e-17,-1.133590e+05
1.457340e+06,1.489360e-17,-1.157510e+05
1.488610e+06,-2.332830e-17,-1.180930e+05
1.519320e+06,1.922180e-17,-1.204020e+05
1.549820e+06,-8.546430e-18,-1.227020e+05
1.579940e+06,1.023000e-17,-1.250200e+05
1.609530e+06,-1.886270e-17,-1.271910e+05
1.638290e+06,-3.559760e-17,-1.293570e+05
1.666550e+06,-1.026210e-17,-1.315070e+05
1.694430e+06,-2.887820e-17,-1.335400e+05
1.721900e+06,-2.507240e-17,-1.355120e+05
1.749120e+06,-2.875650e-17,-1.374790e+05
1.776020e+06,-2.879070e-17,-1.394280e+05
1.802560e+06,-2.790590e-17,-1.413760e+05
1.828810e+06,-2.335620e-17,-1.433210e+05
1.854720e+06,-3.417300e-17,-1.452600e+05
1.880310e+06,-2.800530e-17,-1.471000e+05
1.905640e+06,-2.780850e-17,-1.488740e+05
1.930560e+06,-2.009310e-17,-1.505510e+05
1.955000e+06,-2.665660e-17,-1.522480e+05
1.979060e+06,-2.219200e-17,-1.539660e+05
2.002910e+06,-1.599300e-17,-1.556800e+05
2.026610e+06,-1.281080e-17,-1.573810e+05
2.050150e+06,-1.302140e-17,-1.590510e+05
2.073510e+06,-1.052860e-17,-1.607190e+05
2.096650e+06,-1.131170e-17,-1.623800e+05
2.119570e+06,-5.129660e-18,-1.640270e+05
2.142260e+06,-3.109560e-18,-1.656690e+05
2.164680e+06,-5.392940e-18,-1.672790e+05
2.186870e+06,-1.042620e-18,-1.688430e+05
2.208850e+06,-1.515360e-18,-1.703920e+05
2.230490e+06,-1.326100e-17,-1.718520e+05
2.251970e+06,-1.166670e-17,-1.733120e+05
2.273290e+06,-1.363010e-17,-1.747750e+05
2.294510e+06,-1.269330e-17,-1.762300e+05
2.315470e+06,-1.585150e-17,-1.776760e+05
2.336240e+06,-1.343330e-17,-1.791170e+05
2.356850e+06,-1.036020e-17,-1.805570e+05
2.377300e+06,-6.417290e-18,-1.819970e+05
2.397610e+06,-8.622030e-18,-1.834300e+05
2.417830e+06,-5.614200e-18,-1.848600e+05
2.437940e+06,-5.968800e-18,-1.862900e+05
2.457960e+06,-1.145950e-18,-1.877180e+05
2.477880e+06,-5.457840e-18,-1.890910e+05
2.497710e+06,-3.889320e-18,-1.904610e+05
2.517480e+06,-2.905340e-18,-1.918280e+05
2.537170e+06,-8.741120e-19,-1.931880e+05
2.556740e+06,-6.250740e-18,-1.945490e+05
2.576210e+06,-1.857540e-18,-1.959130e+05
2.595590e+06,-7.473360e-18,-1.972790e+05
2.614820e+06,-7.193040e-18,-1.986470e+05
2.633900e+06,-8.523080e-18,-2.000070e+05
2.652880e+06,-8.673220e-18,-2.013650e+05
2.671740e+06,-1.369850e-17,-2.026960e+05
2.690440e+06,-1.038340e-17,-2.039800e+05
2.709050e+06,-1.056390e-17,-2.052540e+05
2.727590e+06,-7.053790e-18,-2.065200e+05
2.746030e+06,-7.400150e-18,-2.077810e+05
2.764350e+06,-9.132500e-18,-2.090390e+05
2.782600e+06,-8.675580e-18,-2.102930e+05
2.800780e+06,-9.180830e-18,-2.115430e+05
2.818870e+06,-1.016440e-17,-2.127840e+05
2.836900e+06,-3.021250e-18,-2.140220e+05
2.854830e+06,-4.741200e-18,-2.152640e+05
2.872730e+06,-1.874750e-18,-2.165090e+05
2.890530e+06,-7.066130e-18,-2.177160e+05
2.908240e+06,-4.499820e-18,-2.189210e+05
2.925860e+06,-4.376830e-18,-2.201290e+05
2.943390e+06,1.741440e-18,-2.213390e+05
2.960860e+06,-1.854470e-18,-2.225450e+05
2.978290e+06,1.972750e-18,-2.237480e+05
2.995660e+06,-3.540610e-18,-2.249510e+05
3.012940e+06,2.821340e-18,-2.261540e+05
3.030160e+06,1.599470e-18,-2.273560e+05
3.047340e+06,4.004750e-18,-2.285590e+05
3.064480e+06,3.793910e-18,-2.297590e+05
3.081550e+06,9.392640e-18,-2.309640e+05
3.098560e+06,4.175060e-18,-2.321700e+05
3.115520e+06,6.342430e-18,-2.333780e+05
3.132410e+06,4.460380e-18,-2.345860e+05
3.149240e+06,5.119680e-18,-2.357900e+05
3.165970e+06,3.107810e-18,-2.369930e+05
3.182650e+06,6.755220e-18,-2.381930e+05
3.199280e+06,3.243560e-18,-2.393880e+05
3.215860e+06,4.983390e-18,-2.405800e+05
3.232370e+06,2.707190e-18,-2.417690e+05
