Time,Moment_My_N-m,Curvature_phi_y_rad/m
4.558260e+04,-5.938130e-18,-1.122960e+04
9.116490e+04,-3.530300e-17,-2.245910e+04
1.367470e+05,-5.417580e-17,-3.368850e+04
1.823270e+05,-6.952780e-17,-4.491760e+04
2.279070e+05,-7.684680e-17,-5.614640e+04
2.734860e+05,-7.993690e-17,-6.737500e+04
3.190630e+05,-8.278500e-17,-7.860330e+04
3.646390e+05,-8.443800e-17,-8.983110e+04
4.102120e+05,-8.241260e-17,-1.010590e+05
4.557840e+05,-8.415430e-17,-1.122860e+05
5.013530e+05,-8.644350e-17,-1.235120e+05
5.469190e+05,-8.674410e-17,-1.347380e+05
5.924830e+05,-8.657540e-17,-1.459630e+05
6.378760e+05,-8.244500e-17,-1.571730e+05
6.828640e+05,-8.422380e-17,-1.683800e+05
7.272760e+05,-8.996820e-17,-1.795460e+05
7.709160e+05,-9.547280e-17,-1.904210e+05
8.143140e+05,-1.003430e-16,-2.013330e+05
8.570660e+05,-1.075920e-16,-2.121580e+05
8.988270e+05,-1.249130e-16,-2.224400e+05
9.398380e+05,-1.337630e-16,-2.324380e+05
9.802460e+05,-1.358780e-16,-2.424870e+05
1.019260e+06,-1.554820e-16,-2.524270e+05
1.057150e+06,-1.595100e-16,-2.615610e+05
1.094160e+06,-1.616960e-16,-2.705710e+05
1.129620e+06,-1.637460e-16,-2.794960e+05
1.164330e+06,-1.799170e-16,-2.883380e+05
1.198430e+06,-1.815470e-16,-2.967350e+05
1.231790e+06,-1.777350e-16,-3.048590e+05
1.263820e+06,-1.777300e-16,-3.123690e+05
1.295020e+06,-1.859490e-16,-3.197500e+05
1.325340e+06,-1.866940e-16,-3.269830e+05
1.354850e+06,-1.993580e-16,-3.341350e+05
1.384180e+06,-2.004710e-16,-3.411600e+05
1.413370e+06,-1.935120e-16,-3.480000e+05
1.441680e+06,-1.852720e-16,-3.542300e+05
1.468840e+06,-1.969980e-16,-3.601690e+05
1.495630e+06,-1.987640e-16,-3.660500e+05
1.521940e+06,-1.987850e-16,-3.719300e+05
1.547840e+06,-1.989960e-16,-3.778350e+05
1.573410e+06,-2.147140e-16,-3.836040e+05
1.598760e+06,-2.129280e-16,-3.891180e+05
1.623590e+06,-2.137310e-16,-3.942920e+05
1.647860e+06,-2.172620e-16,-3.995020e+05
1.671620e+06,-2.175690e-16,-4.044720e+05
1.694860e+06,-2.340670e-16,-4.090730e+05
1.717660e+06,-2.449720e-16,-4.137080e+05
1.740210e+06,-2.519800e-16,-4.183520e+05
1.762590e+06,-2.499160e-16,-4.229910e+05
1.784840e+06,-2.418830e-16,-4.276410e+05
1.806840e+06,-2.304150e-16,-4.322960e+05
1.828610e+06,-2.203000e-16,-4.366940e+05
1.850170e+06,-2.191000e-16,-4.409110e+05
1.871110e+06,-2.447340e-16,-4.451160e+05
1.891850e+06,-2.429430e-16,-4.492330e+05
1.912410e+06,-2.411940e-16,-4.533120e+05
1.932940e+06,-2.399830e-16,-4.573870e+05
1.953190e+06,-2.544350e-16,-4.614950e+05
1.973220e+06,-2.423430e-16,-4.652950e+05
1.993060e+06,-2.411800e-16,-4.689480e+05
2.012720e+06,-2.423990e-16,-4.725950e+05
2.032160e+06,-2.475730e-16,-4.762550e+05
2.051450e+06,-2.457940e-16,-4.799270e+05
2.070700e+06,-2.437300e-16,-4.835960e+05
2.089830e+06,-2.431050e-16,-4.872580e+05
2.108790e+06,-2.358300e-16,-4.908200e+05
2.127560e+06,-2.370350e-16,-4.941710e+05
2.146240e+06,-2.365790e-16,-4.975340e+05
2.164820e+06,-2.379880e-16,-5.008900e+05
2.183100e+06,-2.393210e-16,-5.042750e+05
2.201380e+06,-2.416620e-16,-5.076590e+05
2.219600e+06,-2.421570e-16,-5.110360e+05
2.237690e+06,-2.429120e-16,-5.144020e+05
2.255720e+06,-2.433040e-16,-5.177600e+05
2.273650e+06,-2.439840e-16,-5.211220e+05
2.291460e+06,-2.439540e-16,-5.244860e+05
2.309180e+06,-2.446710e-16,-5.278410e+05
2.326880e+06,-2.441600e-16,-5.311930e+05
2.344540e+06,-2.451200e-16,-5.345420e+05
2.362160e+06,-2.446660e-16,-5.378860e+05
2.379730e+06,-2.283190e-16,-5.411640e+05
2.397150e+06,-2.527800e-16,-5.442110e+05
2.414470e+06,-2.569130e-16,-5.472460e+05
2.431750e+06,-2.583380e-16,-5.502760e+05
2.448980e+06,-2.582340e-16,-5.533000e+05
2.466190e+06,-2.761440e-16,-5.563180e+05
2.483200e+06,-2.869420e-16,-5.593040e+05
2.500050e+06,-2.867500e-16,-5.622850e+05
2.516740e+06,-2.766150e-16,-5.650950e+05
2.533340e+06,-2.786680e-16,-5.678400e+05
2.549900e+06,-2.798090e-16,-5.705830e+05
2.566430e+06,-2.808270e-16,-5.733210e+05
2.582910e+06,-2.807890e-16,-5.760590e+05
2.599340e+06,-2.814300e-16,-5.787950e+05
2.615620e+06,-2.852370e-16,-5.815390e+05
2.631740e+06,-2.893290e-16,-5.842940e+05
2.647740e+06,-2.915880e-16,-5.870580e+05
2.663680e+06,-2.921420e-16,-5.898170e+05
2.679530e+06,-2.915020e-16,-5.925690e+05
2.695320e+06,-2.926830e-16,-5.953190e+05
2.711040e+06,-2.944040e-16,-5.980700e+05
2.726690e+06,-2.958030e-16,-6.008230e+05
2.742270e+06,-2.966080e-16,-6.035740e+05
2.757750e+06,-2.986780e-16,-6.063220e+05
2.773040e+06,-2.978930e-16,-6.090790e+05
2.788200e+06,-2.972790e-16,-6.118330e+05
2.803220e+06,-2.969910e-16,-6.145770e+05
2.818090e+06,-2.957270e-16,-6.173120e+05
2.832790e+06,-2.954060e-16,-6.200340e+05
2.847300e+06,-2.935770e-16,-6.227400e+05
2.861640e+06,-2.942350e-16,-6.254070e+05
2.875790e+06,-2.949340e-16,-6.280210e+05
2.889780e+06,-2.968510e-16,-6.305620e+05
2.903590e+06,-2.972520e-16,-6.330080e+05
2.917250e+06,-2.987520e-16,-6.353470e+05
2.930750e+06,-2.967980e-16,-6.375730e+05
2.944090e+06,-2.947260e-16,-6.396900e+05
2.957290e+06,-2.922270e-16,-6.417120e+05
2.970360e+06,-2.891360e-16,-6.436570e+05
2.983310e+06,-2.862670e-16,-6.455430e+05
2.996130e+06,-2.837120e-16,-6.473830e+05
3.008880e+06,-2.802760e-16,-6.491920e+05
3.021520e+06,-2.774090e-16,-6.509750e+05
3.034090e+06,-2.751450e-16,-6.527420e+05
3.046600e+06,-2.724920e-16,-6.544990e+05
3.059010e+06,-2.725370e-16,-6.562510e+05
3.070970e+06,-2.766130e-16,-6.580500e+05
3.082600e+06,-3.503610e-16,-6.596090e+05
3.093980e+06,-3.433740e-16,-6.607430e+05
3.105330e+06,-3.348540e-16,-6.618710e+05
3.116640e+06,-3.011670e-16,-6.629890e+05
3.127900e+06,-2.933350e-16,-6.640870e+05
3.139100e+06,-2.871580e-16,-6.651840e+05
3.150270e+06,-2.830940e-16,-6.662770e+05
3.161400e+06,-2.770130e-16,-6.673660e+05
3.172480e+06,-2.739020e-16,-6.684490e+05
3.183520e+06,-2.699230e-16,-6.695260e+05
3.194520e+06,-2.678620e-16,-6.705990e+05
3.205470e+06,-2.635210e-16,-6.716660e+05
3.216340e+06,-2.617960e-16,-6.727300e+05
3.227040e+06,-2.588390e-16,-6.738000e+05
3.237480e+06,-2.529560e-16,-6.748790e+05
3.247830e+06,-2.463920e-16,-6.759490e+05
3.258050e+06,-2.381100e-16,-6.770060e+05
3.268110e+06,-2.332790e-16,-6.780470e+05
3.278000e+06,-2.283270e-16,-6.790630e+05
3.287690e+06,-2.224030e-16,-6.800410e+05
3.297180e+06,-2.155350e-16,-6.809640e+05
3.306470e+06,-1.995530e-16,-6.818080e+05
3.315540e+06,-1.900200e-16,-6.825450e+05
3.324430e+06,-1.803350e-16,-6.831670e+05
3.333140e+06,-1.679030e-16,-6.836620e+05
3.341660e+06,-1.555090e-16,-6.840350e+05
3.350030e+06,-1.432110e-16,-6.842990e+05
3.358250e+06,-1.326040e-16,-6.844750e+05
3.366320e+06,-1.216160e-16,-6.845820e+05
3.374250e+06,-1.115180e-16,-6.846400e+05
3.382010e+06,-9.866400e-17,-6.846160e+05
3.389660e+06,-8.378670e-17,-6.846100e+05
3.397200e+06,-6.899510e-17,-6.845820e+05
3.404590e+06,-5.462760e-17,-6.845370e+05
3.411860e+06,-4.056040e-17,-6.844760e+05
3.419080e+06,-2.908830e-17,-6.844000e+05
3.426230e+06,-1.836190e-17,-6.843110e+05
3.433300e+06,-9.566200e-18,-6.842090e+05
3.440300e+06,-2.195610e-18,-6.840960e+05
3.447220e+06,6.511470e-18,-6.839710e+05
3.454050e+06,1.560020e-17,-6.837810e+05
3.460850e+06,2.199690e-17,-6.836320e+05
3.467600e+06,2.696930e-17,-6.834720e+05
3.474110e+06,3.880560e-17,-6.830560e+05
3.480610e+06,4.276830e-17,-6.826330e+05
3.487010e+06,4.947140e-17,-6.822030e+05
3.493360e+06,5.535000e-17,-6.817660e+05
3.499640e+06,6.188440e-17,-6.813250e+05
3.505880e+06,6.978710e-17,-6.808770e+05
3.511900e+06,7.209140e-17,-6.804230e+05
3.517520e+06,1.134100e-16,-6.796260e+05
3.523160e+06,1.136230e-16,-6.786760e+05
3.528690e+06,1.226660e-16,-6.777270e+05
3.534160e+06,1.293380e-16,-6.767790e+05
3.539580e+06,1.381310e-16,-6.758320e+05
3.544960e+06,1.427150e-16,-6.748860e+05
3.550270e+06,1.480060e-16,-6.739410e+05
3.555540e+06,1.519320e-16,-6.729930e+05
3.560740e+06,1.585500e-16,-6.720450e+05
3.565910e+06,1.641010e-16,-6.710980e+05
3.570960e+06,1.805570e-16,-6.701510e+05
3.575810e+06,1.991650e-16,-6.692010e+05
3.580470e+06,2.073410e-16,-6.682470e+05
3.585100e+06,2.157820e-16,-6.672950e+05
3.589700e+06,2.218960e-16,-6.663440e+05
3.594280e+06,2.307090e-16,-6.653960e+05
3.598810e+06,2.373710e-16,-6.644500e+05
3.603300e+06,2.425610e-16,-6.635070e+05
3.607760e+06,2.478360e-16,-6.625660e+05
3.612190e+06,2.548930e-16,-6.616270e+05
3.616570e+06,2.585100e-16,-6.606880e+05
3.620890e+06,2.633270e-16,-6.597500e+05
3.625190e+06,2.685860e-16,-6.588130e+05
3.629450e+06,2.721850e-16,-6.578780e+05
3.633690e+06,2.771820e-16,-6.569440e+05
3.637870e+06,2.781320e-16,-6.560110e+05
3.642020e+06,2.825720e-16,-6.550800e+05
3.646120e+06,2.881820e-16,-6.541520e+05
3.650180e+06,2.952140e-16,-6.532250e+05
3.654190e+06,2.990460e-16,-6.523000e+05
3.658180e+06,3.065580e-16,-6.513780e+05
3.662130e+06,3.108790e-16,-6.504580e+05
3.666050e+06,3.162940e-16,-6.495400e+05
3.669930e+06,3.202970e-16,-6.486240e+05
3.673780e+06,3.257970e-16,-6.477100e+05
3.677610e+06,3.300540e-16,-6.467990e+05
3.681410e+06,3.359000e-16,-6.458910e+05
3.685170e+06,3.397640e-16,-6.449860e+05
3.688910e+06,3.433600e-16,-6.440850e+05
3.692610e+06,3.464830e-16,-6.431870e+05
3.696240e+06,3.747380e-16,-6.422900e+05
3.699910e+06,3.615850e-16,-6.413980e+05
3.703520e+06,3.630690e-16,-6.405080e+05
3.707110e+06,3.664220e-16,-6.396220e+05
3.710670e+06,3.701570e-16,-6.387390e+05
3.714210e+06,3.726280e-16,-6.378590e+05
3.717720e+06,3.770210e-16,-6.369830e+05
3.721210e+06,3.817310e-16,-6.361110e+05
3.689350e+06,4.100330e-16,-6.343960e+05
