Time,Moment_My_N-m,Curvature_phi_y_rad/m
3.129160e+04,2.677320e-16,-4.264480e+03
6.258310e+04,2.487530e-16,-8.528940e+03
9.387440e+04,2.553470e-16,-1.279340e+04
1.251660e+05,2.532800e-16,-1.705780e+04
1.564570e+05,2.569720e-16,-2.132210e+04
1.877470e+05,2.573260e-16,-2.558650e+04
2.190380e+05,2.544940e-16,-2.985080e+04
2.503280e+05,2.558930e-16,-3.411500e+04
2.816180e+05,2.543700e-16,-3.837920e+04
3.129070e+05,2.536050e-16,-4.264340e+04
3.441960e+05,2.555340e-16,-4.690750e+04
3.754850e+05,2.533640e-16,-5.117150e+04
4.067720e+05,2.524860e-16,-5.543530e+04
4.380600e+05,2.559760e-16,-5.969920e+04
4.693460e+05,2.525480e-16,-6.396290e+04
5.006320e+05,2.532950e-16,-6.822630e+04
5.319170e+05,2.552990e-16,-7.249010e+04
5.631930e+05,2.529540e-16,-7.675320e+04
5.942090e+05,2.506840e-16,-8.099510e+04
6.250860e+05,2.533860e-16,-8.522320e+04
6.557770e+05,2.492210e-16,-8.942980e+04
6.861120e+05,2.475740e-16,-9.360340e+04
7.160730e+05,2.516610e-16,-9.776140e+04
7.458910e+05,2.534130e-16,-1.019390e+05
7.754800e+05,2.516230e-16,-1.060900e+05
8.048550e+05,2.543400e-16,-1.102220e+05
8.338910e+05,2.545060e-16,-1.143350e+05
8.627320e+05,2.589100e-16,-1.184690e+05
8.912100e+05,2.570330e-16,-1.225630e+05
9.191680e+05,2.610340e-16,-1.266040e+05
9.468420e+05,2.610960e-16,-1.306170e+05
9.743140e+05,2.662070e-16,-1.346190e+05
1.001220e+06,2.643420e-16,-1.385960e+05
1.027440e+06,2.651910e-16,-1.425440e+05
1.053520e+06,2.810620e-16,-1.464010e+05
1.079320e+06,2.767280e-16,-1.502230e+05
1.104570e+06,2.844980e-16,-1.540220e+05
1.129270e+06,2.843160e-16,-1.578190e+05
1.153920e+06,2.834050e-16,-1.616240e+05
1.178410e+06,2.757050e-16,-1.654290e+05
1.202390e+06,2.913620e-16,-1.690660e+05
1.225790e+06,3.100620e-16,-1.725730e+05
1.248890e+06,2.930230e-16,-1.760670e+05
1.271910e+06,3.123610e-16,-1.795580e+05
1.294670e+06,3.004360e-16,-1.830240e+05
1.317120e+06,3.136490e-16,-1.865120e+05
1.339150e+06,3.056590e-16,-1.900220e+05
1.361020e+06,3.217210e-16,-1.935220e+05
1.382760e+06,3.044400e-16,-1.968850e+05
1.404040e+06,3.262350e-16,-2.000960e+05
1.424880e+06,3.462910e-16,-2.032760e+05
1.445690e+06,3.359600e-16,-2.064390e+05
1.466430e+06,3.436670e-16,-2.096080e+05
1.487030e+06,3.382100e-16,-2.127750e+05
1.507490e+06,3.480550e-16,-2.159410e+05
1.527720e+06,3.407440e-16,-2.191350e+05
1.547780e+06,3.420030e-16,-2.223320e+05
1.567600e+06,3.381450e-16,-2.254970e+05
1.587260e+06,3.568790e-16,-2.286500e+05
1.606760e+06,3.568810e-16,-2.316070e+05
1.626110e+06,3.670570e-16,-2.343690e+05
1.645290e+06,3.617860e-16,-2.370050e+05
1.664210e+06,3.694430e-16,-2.397490e+05
1.683020e+06,3.626520e-16,-2.424840e+05
1.701750e+06,3.664490e-16,-2.451730e+05
1.720320e+06,3.597810e-16,-2.478500e+05
1.738810e+06,3.631150e-16,-2.505230e+05
1.757210e+06,3.660470e-16,-2.532050e+05
1.775370e+06,3.671660e-16,-2.559380e+05
1.793420e+06,3.744650e-16,-2.586370e+05
1.811370e+06,3.786430e-16,-2.613210e+05
1.829240e+06,3.732980e-16,-2.639610e+05
1.847060e+06,3.638640e-16,-2.664620e+05
1.864710e+06,3.589310e-16,-2.688440e+05
1.882050e+06,3.797760e-16,-2.711270e+05
1.899220e+06,3.865470e-16,-2.734080e+05
1.916250e+06,3.895800e-16,-2.756920e+05
1.933070e+06,4.023680e-16,-2.780190e+05
1.949830e+06,3.889990e-16,-2.803210e+05
1.966460e+06,3.919040e-16,-2.825810e+05
1.983000e+06,3.873460e-16,-2.848300e+05
1.999460e+06,3.984020e-16,-2.870930e+05
2.015910e+06,3.919550e-16,-2.893560e+05
2.032300e+06,4.163580e-16,-2.916140e+05
2.048570e+06,4.061450e-16,-2.938410e+05
2.064720e+06,4.115790e-16,-2.960880e+05
2.080800e+06,4.015520e-16,-2.981940e+05
2.096860e+06,4.072550e-16,-3.002880e+05
2.112870e+06,4.004190e-16,-3.023890e+05
2.128790e+06,4.143750e-16,-3.045010e+05
2.144570e+06,4.065660e-16,-3.066500e+05
2.160230e+06,4.166540e-16,-3.087840e+05
2.175800e+06,3.916900e-16,-3.108560e+05
2.191330e+06,3.971730e-16,-3.128190e+05
2.206820e+06,3.939130e-16,-3.147800e+05
2.222230e+06,4.230560e-16,-3.167370e+05
2.237520e+06,4.244720e-16,-3.186460e+05
2.252720e+06,4.324750e-16,-3.205650e+05
2.267790e+06,4.354400e-16,-3.225330e+05
2.282800e+06,4.492160e-16,-3.245120e+05
2.297760e+06,4.287100e-16,-3.264770e+05
2.312670e+06,4.417860e-16,-3.284240e+05
2.327570e+06,4.309730e-16,-3.303700e+05
2.342410e+06,4.404680e-16,-3.323010e+05
2.357230e+06,4.268620e-16,-3.342010e+05
2.372010e+06,4.295070e-16,-3.360490e+05
2.386720e+06,4.338060e-16,-3.377960e+05
2.401380e+06,4.479890e-16,-3.395460e+05
2.415980e+06,4.326770e-16,-3.412910e+05
2.430490e+06,4.476170e-16,-3.430420e+05
2.444920e+06,4.338280e-16,-3.447940e+05
2.459270e+06,4.512800e-16,-3.465650e+05
2.473550e+06,4.411340e-16,-3.483520e+05
2.487800e+06,4.560970e-16,-3.501420e+05
2.502020e+06,4.476060e-16,-3.519330e+05
2.516220e+06,4.536850e-16,-3.537230e+05
2.530410e+06,4.464030e-16,-3.555120e+05
2.544570e+06,4.544340e-16,-3.572980e+05
2.558680e+06,4.464590e-16,-3.590820e+05
2.572730e+06,4.477780e-16,-3.608610e+05
2.586740e+06,4.457220e-16,-3.626350e+05
2.600690e+06,4.292740e-16,-3.643690e+05
2.614590e+06,4.207420e-16,-3.660270e+05
2.628460e+06,4.304160e-16,-3.676850e+05
2.642280e+06,4.217690e-16,-3.693570e+05
2.656060e+06,4.326350e-16,-3.710270e+05
2.669840e+06,4.207100e-16,-3.726980e+05
2.683580e+06,4.313710e-16,-3.743680e+05
2.697300e+06,4.191290e-16,-3.760080e+05
2.710980e+06,4.348650e-16,-3.776440e+05
2.724580e+06,4.318990e-16,-3.792780e+05
2.738070e+06,4.451540e-16,-3.808940e+05
2.751520e+06,4.268620e-16,-3.825040e+05
2.764930e+06,4.393900e-16,-3.841100e+05
2.778330e+06,4.269890e-16,-3.857120e+05
2.791680e+06,4.684860e-16,-3.872480e+05
