Time,Moment_My_N-m,Curvature_phi_y_rad/m
2.083400e+04,5.231360e-17,-3.931160e+03
4.166800e+04,5.305810e-17,-7.862300e+03
6.250190e+04,4.985860e-17,-1.179340e+04
8.333570e+04,4.745100e-17,-1.572450e+04
1.041690e+05,4.456080e-17,-1.965560e+04
1.250030e+05,4.200830e-17,-2.358660e+04
1.458360e+05,3.911410e-17,-2.751760e+04
1.666700e+05,3.648520e-17,-3.144860e+04
1.875030e+05,3.372400e-17,-3.537960e+04
2.083350e+05,3.108780e-17,-3.931050e+04
2.291680e+05,2.829050e-17,-4.324130e+04
2.500000e+05,2.568900e-17,-4.717210e+04
2.708320e+05,2.268130e-17,-5.110270e+04
2.916630e+05,2.012400e-17,-5.503340e+04
3.124940e+05,1.732680e-17,-5.896390e+04
3.333250e+05,1.464610e-17,-6.289460e+04
3.541550e+05,1.174550e-17,-6.682490e+04
3.749800e+05,9.333870e-18,-7.075480e+04
3.956140e+05,7.217150e-18,-7.466540e+04
4.161380e+05,4.657160e-18,-7.856100e+04
4.364660e+05,4.184190e-18,-8.242690e+04
4.566670e+05,1.049640e-18,-8.628030e+04
4.767130e+05,-2.008360e-18,-9.011910e+04
4.965260e+05,1.025140e-19,-9.395560e+04
5.161990e+05,-1.746680e-18,-9.778280e+04
5.357960e+05,-4.360780e-18,-1.016020e+05
5.550810e+05,-4.555510e-18,-1.053780e+05
5.742370e+05,-8.028660e-18,-1.091570e+05
5.931320e+05,-8.928190e-18,-1.129240e+05
6.117660e+05,-8.990570e-18,-1.166600e+05
6.302620e+05,-1.448430e-17,-1.203780e+05
6.484800e+05,-1.428670e-17,-1.240500e+05
6.662980e+05,-1.267450e-17,-1.276750e+05
6.839170e+05,-1.547020e-17,-1.313010e+05
7.014900e+05,-1.832620e-17,-1.349260e+05
7.188810e+05,-1.977020e-17,-1.385280e+05
7.359660e+05,-2.117620e-17,-1.421230e+05
7.527100e+05,-2.331110e-17,-1.456260e+05
7.692410e+05,-2.597620e-17,-1.491320e+05
7.856370e+05,-2.852080e-17,-1.526150e+05
8.018570e+05,-3.157020e-17,-1.560800e+05
8.179190e+05,-3.284370e-17,-1.595430e+05
8.336630e+05,-3.390150e-17,-1.629780e+05
8.492720e+05,-3.350620e-17,-1.662900e+05
8.647020e+05,-4.062930e-17,-1.694910e+05
8.800310e+05,-4.338960e-17,-1.726900e+05
