Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.000700,20834.010000,20834.000000
0.001400,41668.050000,41668.000000
0.002100,62501.900000,62501.900000
0.002800,83335.750000,83335.700000
0.003500,104169.400000,104169.000000
0.004200,125003.000000,125003.000000
0.004900,145836.350000,145836.000000
0.005600,166669.550000,166670.000000
0.006300,187502.300000,187503.000000
0.007000,208335.250000,208335.000000
0.007700,229167.500000,229168.000000
0.008400,250000.000000,250000.000000
0.009100,270832.000000,270832.000000
0.009800,291663.000000,291663.000000
0.010500,312494.500000,312494.000000
0.011200,333325.000000,333325.000000
0.011900,354154.500000,354155.000000
0.012600,374980.500000,374980.000000
0.013300,395613.500000,395614.000000
0.014000,416138.000000,416138.000000
0.014700,436465.500000,436466.000000
0.015400,456666.500000,456667.000000
0.016100,476713.000000,476713.000000
0.016800,496526.000000,496526.000000
0.017500,516198.500000,516199.000000
0.018200,535796.000000,535796.000000
0.018900,555081.000000,555081.000000
0.019600,574237.000000,574237.000000
0.020300,593132.000000,593132.000000
0.021000,611766.000000,611766.000000
0.021700,630262.500000,630262.000000
0.022400,648479.500000,648480.000000
0.023100,666298.500000,666298.000000
0.023800,683918.000000,683917.000000
0.024500,701490.000000,701490.000000
0.025200,718881.000000,718881.000000
0.025900,735967.000000,735966.000000
0.026600,752710.500000,752710.000000
0.027300,769241.000000,769241.000000
0.028000,785637.500000,785637.000000
0.028700,801858.000000,801857.000000
0.029400,817919.500000,817919.000000
0.030100,833662.500000,833663.000000
0.030800,849274.000000,849272.000000
0.031500,864707.000000,864702.000000
0.032200,880031.000000,880031.000000
0.032900,895140.000000,895140.000000
0.033600,909993.500000,909993.000000
0.034300,924675.000000,924672.000000
0.035000,939276.000000,939276.000000
0.035700,953803.000000,953803.000000
0.036400,968235.000000,968235.000000
0.037100,982476.000000,982473.000000
0.037800,996546.500000,996543.000000
0.038500,1010494.000000,1010490.000000
0.039200,1024352.000000,1024350.000000
0.039900,1038134.500000,1038130.000000
0.040600,1051900.500000,1051900.000000
0.041300,1065588.000000,1065590.000000
0.042000,1079202.000000,1079200.000000
0.042700,1092767.000000,1092770.000000
0.043400,1106257.000000,1106260.000000
0.044100,1119654.500000,1119650.000000
0.044800,1132909.000000,1132910.000000
0.045500,1146085.000000,1146080.000000
0.046200,1159180.000000,1159180.000000
0.046900,1172097.000000,1172090.000000
0.047600,1184895.500000,1184900.000000
0.048300,1197566.500000,1197560.000000
0.049000,1210083.000000,1210080.000000
0.049700,1222559.000000,1222560.000000
0.050400,1234961.500000,1234960.000000
0.051100,1247297.000000,1247290.000000
0.051800,1259591.500000,1259590.000000
0.052500,1271773.500000,1271770.000000
0.053200,1283908.500000,1283910.000000
0.053900,1295988.500000,1295990.000000
0.054600,1307946.500000,1307950.000000
0.055300,1319849.000000,1319850.000000
0.056000,1331670.500000,1331660.000000
0.056700,1343419.000000,1343420.000000
0.057400,1355128.000000,1355130.000000
0.058100,1366766.500000,1366770.000000
0.058800,1378315.500000,1378310.000000
0.059500,1389778.500000,1389780.000000
0.060200,1401234.500000,1401230.000000
0.060900,1412677.500000,1412680.000000
0.061600,1424103.500000,1424100.000000
0.062300,1435467.500000,1435470.000000
